"m";"task";"participant";"angularShift"
"aug";"month";"Co6";"  8.70440455"
"sep";"month";"Co6";"  0.31427018"
"oct";"month";"Co6";"  0.01622719"
"nov";"month";"Co6";"  1.06532485"
"dec";"month";"Co6";"  1.71273421"
"jan";"crazy";"Co6";" 15.73831224"
"feb";"crazy";"Co6";"  3.66707131"
"mar";"crazy";"Co6";" 13.46800253"
"apr";"crazy";"Co6";" 32.12272274"
"may";"crazy";"Co6";"  2.93658764"
"jun";"crazy";"Co6";"  8.28672224"
"jul";"crazy";"Co6";" 10.21843129"
"aug";"crazy";"Co6";" 15.45993473"
"sep";"crazy";"Co6";" 27.38748472"
"oct";"crazy";"Co6";" 30.68447295"
"nov";"crazy";"Co6";"  5.51218940"
"dec";"crazy";"Co6";" 17.57696703"
"jan";"month";"Co7";" 77.33462886"
"feb";"month";"Co7";" 76.65402649"
"mar";"month";"Co7";" 75.92330224"
"apr";"month";"Co7";" 58.02711306"
"may";"month";"Co7";" 66.63988726"
"jun";"month";"Co7";" 46.41690112"
"jul";"month";"Co7";" 43.47340388"
"aug";"month";"Co7";" 39.87534929"
"sep";"month";"Co7";" 24.02525084"
"oct";"month";"Co7";" 29.40121182"
"nov";"month";"Co7";" 33.56837490"
"dec";"month";"Co7";" 27.07385560"
"jan";"crazy";"Co7";" 23.22282636"
"feb";"crazy";"Co7";" 24.93355488"
"mar";"crazy";"Co7";" 23.60498041"
"apr";"crazy";"Co7";" 15.84360854"
"may";"crazy";"Co7";" 20.17095063"
"jun";"crazy";"Co7";"  6.82752660"
"jul";"crazy";"Co7";"  3.50541474"
"aug";"crazy";"Co7";" 25.81004243"
"sep";"crazy";"Co7";" 35.83930776"
"oct";"crazy";"Co7";" 25.99985850"
"nov";"crazy";"Co7";"  2.92362482"
"dec";"crazy";"Co7";"  3.08358931"
"jan";"month";"Co8";" 40.72546218"
"feb";"month";"Co8";"105.83284943"
"mar";"month";"Co8";" 80.50606603"
"apr";"month";"Co8";" 67.20511118"
"may";"month";"Co8";" 63.01476494"
"jun";"month";"Co8";" 41.78971209"
"jul";"month";"Co8";" 34.83345884"
"aug";"month";"Co8";" 42.29771780"
"sep";"month";"Co8";" 32.43007160"
"oct";"month";"Co8";" 36.36093568"
"nov";"month";"Co8";" 42.00023218"
"dec";"month";"Co8";" 33.80583197"
"jan";"crazy";"Co8";" 27.46432792"
"feb";"crazy";"Co8";" 14.67215001"
"mar";"crazy";"Co8";" 18.33145734"
"apr";"crazy";"Co8";" 22.62729128"
"may";"crazy";"Co8";" 28.06162760"
