"assumedPos";"angle"
2050;101.134071904185
2051;104.627636606752
2052;108.006117568619
2053;111.252445177098
2054;114.354219463952
2055;117.30348743465
2056;120.096281618117
2057;122.732019246888
2058;125.21284955732
2059;127.543015676192
2060;129.728274573898
2061;131.775398252802
2062;133.691763831358
2063;135.485029780209
2064;137.162889543266
2065;138.732891031431
2066;140.202309918548
2067;141.578065405571
2068;142.866668502388
2069;144.07419448202
2070;145.206272736521
2071;146.268088675493
2072;147.264393502035
2073;148.199518667427
2074;149.077392558808
2075;149.901557536919
2076;150.675185837977
2077;151.401093105608
2078;152.0817484388
2079;152.719279834169
2080;153.315473757097
2081;153.871767271563
2082;154.389230644256
2083;154.868537530071
2084;155.309918601267
2085;155.713092563628
2086;156.07716550798
2087;156.400484780998
2088;156.680425798132
2089;156.913077223967
2090;157.092767478155
2091;157.211335260411
2092;157.25697157625
2093;157.212313357763
2094;157.051163279465
2095;156.73253350941
2096;156.189085550626
2097;155.302725046478
2098;153.847120100343
2099;151.330689367247
2100;146.466841158789
2101;134.727617831704
2102;93.9456260800229
2103;27.8914778381751
2104;6.8647867522167
2105;0.448692275439095
2106;3.93928597574338
2107;5.91143007763836
2108;7.13814396108215
2109;7.94711256373704
2110;8.50007912278127
2111;8.88580870135925
2112;9.15696260721166
2113;9.34670042743362
2114;9.47690532181638
2115;9.56257600815984
2116;9.61431752548727
2117;9.63982552162931
2118;9.64480821450302
2119;9.6335795976435
2120;9.60945285757957
2121;9.57500825026391
2122;9.53227975633652
2123;9.48288782207166
2124;9.42813548777373
2125;9.36907914217624
2126;9.30658136737936
2127;9.24135093261201
2128;9.1739734273501
2129;9.10493498257623
2130;9.03464082424454
2131;8.96342991841012
2132;8.89158662916929
2133;8.81935007110324
2134;8.7469216662122
2135;8.67447129075494
2136;8.60214230601574
2137;8.53005569926702
2138;8.45831351050117
2139;8.38700168220387
2140;8.31619244028509
2141;8.24594629188726
2142;8.17631370847477
2143;8.10733654911641
2144;8.03904926829457
2145;7.97147994422351
2146;7.90465115703444
2147;7.83858074088922
2148;7.77328242983894
2149;7.70876641381761
