"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa11";"Sa14";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa26";"Sa4";"Sa5";"Sa6";"Sa7";"Sa9"
12.144536;-6.38398000000001;24.4822225;-49.7390075;-16.4857487;9.61200875;43.02588975;173.65276025;96.496587;-26.30571805;18.2146;4.58044674999999;-22.3139955;-3.317905;6.390487075;-28.81869575;-46.83528;-69.9434025;8.26826499999996;25.83857;7.27476583333333;-32.99276275;39.07674625;12.251302575
54.5343675000001;81.63329865;253.43221875;-3.4247;-21.284144675;-39.14752;-62.714505;94.06175775;80.776714675;20.81958925;14.0552625;27.1310875;-4.358623;-9.84037875000001;6.86677150000001;-57.0235745;-71.22678;-0.0251849999999934;-37.352201;-0.582220000000007;19.016939;37.34876895;21.3623025;-86.6700975
-6.29197499999998;28.7205675;14.054845;12.644685;-45.4793775;-5.56862999999998;35.332025;-13.276405;-20.4237666666667;49.80241;6.10785250000004;5.70360499999998;15.6247949999999;0.116792500000003;-8.17968500000001;15.652135;-15.02087975;36.0627675;-8.1597275;34.2058;-8.03772500000002;-6.21423999999996;63.0514255;1.95287999999994
-51.0258233333333;30.5241149999999;-66.05498;-77.79704625;13.5842115;-11.8171475;-73.8814075;31.94251;-25.9384125;-6.31669049999999;15.927825;-32.8590125;4.52573999999998;-1.00073999999998;-30.586605;56.68523875;-7.69735;41.850202;-4.70637500000001;36.2206441666667;-0.799294999999972;21.67272;31.27779225;8.70896249999998
-13.0158975000001;36.82127;-56.7547025;-39.95203;-15.04778;11.4107575;-42.260485;7.42991999999998;-43.726655;9.78439049999999;8.72375249999999;33.35443;4.80579999999998;-4.60433;72.3547475;37.26888;-15.3777575;-21.7352691666666;15.0564775;60.1307975;-44.2592755;32.6293475;39.63116025;5.45835000000005
-26.6269625;55.35711975;314.7230915;11.4402825;-39.094944;5.2655695;3.38909999999998;61.80926625;41.585357;29.857204425;2.12394;-9.29392583333333;-2.382232;-9.81;-34.273122;25.6310205;-56.356124875;-4.70765750000001;-28.793037575;21.07272;-22.44164075;-0.873077749999993;-53.0061;13.138762
-12.282865;101.36836135;266.8067205;-28.81996;-19.43416075;19.46976;-13.5629049999999;29.3314375;113.09911025;7.526284775;27.22311675;-21.849455;-16.983294375;-1.311615;-48.921884;-14.64877;-26.149883;-26.2219525;-15.444594;22.6183425;35.2343516666666;-5.95806000000002;31.3107875;-7.44204499999999
-43.0891591666667;-43.399725;70.3031604166667;-19.455454;-22.674800525;-7.42467500000001;-38.9634125;83.1398825;55.3724616666667;20.122753;-31.2782275;16.634249;-11.44550125;-2.04666750000001;74.73179675;6.6379575;11.6434775;30.03174935;20.3424424999999;45.05653;-38.3781625;-23.4793115;-12.06462425;-6.2811025
37.3960724999999;-50.790114;53.279205;-19.030385;-0.435469099999999;8.28738000000001;-3.41993124999999;42.801454;136.161755;-26.17851;-19.812763125;-36.456105;6.16125385;-0.415070000000014;27.52269925;-52.21329025;-10.251977;12.2278466666667;22.290985;61.0468825;-10.37832;16.4584056;-21.7200825;-45.62916785
58.1175549999999;12.8782625;74.2559629;-11.2362125;-42.54139525;-1.16139000000001;45.260115;16.07632;4.87511916666665;-7.68084899999999;-1.46183000000002;-8.77403249999998;14.574995;-6.82985250000002;-8.19231250000001;59.184725;3.48027775000001;-73.93641225;8.84223249999999;7.70907000000003;23.46281;6.44563749999998;42.97600725;34.8475
27.7435458333333;3.5745;181.7829865;-13.83600625;-3.60140899999999;-4.81882249999998;-3.71472900000001;68.442025;73.6694033333333;-49.32870675;-29.3006075;-152.893944;-0.0903114999999985;6.49252250000001;-17.28895475;70.7885658333333;8.7736145;-21.1313445;-11.152426;-14.2615025;-2.853354;-15.052995;68.3326367;20.88556875
NA;29.97575525;217.823581;25.6201925;19.86573175;10.4660125;-71.46948025;-24.2482045;73.345088;-35.2087125;18.074789;11.5579675;32.110091575;-19.362095;-10.3493783833333;22.1773916666667;-14.4121501;-27.1219475;19.7424175;1.30335250000002;17.81095975;52.619701;60.51633;-13.0018635833333
