"m";"task";"participant";"angularShift"
"aug";"month";"Co6";" 41.064096869"
"sep";"month";"Co6";" 27.539424361"
"oct";"month";"Co6";" 25.671799833"
"nov";"month";"Co6";" 26.847931124"
"dec";"month";"Co6";"  6.108371287"
"jan";"crazy";"Co6";"  0.153889441"
"feb";"crazy";"Co6";"  6.223480164"
"mar";"crazy";"Co6";" 18.366754015"
"apr";"crazy";"Co6";" 55.221872291"
"may";"crazy";"Co6";" 12.210681050"
"jun";"crazy";"Co6";"  4.553057854"
"jul";"crazy";"Co6";"  2.956765989"
"aug";"crazy";"Co6";" 18.137729508"
"sep";"crazy";"Co6";"  3.644320720"
"oct";"crazy";"Co6";"  4.553799999"
"nov";"crazy";"Co6";"  3.205451156"
"dec";"crazy";"Co6";" 16.532702281"
"jan";"month";"Co7";" 24.167026315"
"feb";"month";"Co7";" 27.077948716"
"mar";"month";"Co7";" 27.851393092"
"apr";"month";"Co7";" 38.798992433"
"may";"month";"Co7";" 17.717520877"
"jun";"month";"Co7";" 26.775056923"
"jul";"month";"Co7";" 13.128732675"
"aug";"month";"Co7";"  4.330791900"
"sep";"month";"Co7";"  2.323828579"
"oct";"month";"Co7";"  3.299257987"
"nov";"month";"Co7";"  0.892884962"
"dec";"month";"Co7";"  2.798333844"
"jan";"crazy";"Co7";"  3.445691434"
"feb";"crazy";"Co7";"  2.804215977"
"mar";"crazy";"Co7";"  1.454562110"
"apr";"crazy";"Co7";" 12.935043142"
"may";"crazy";"Co7";" 24.355674748"
"jun";"crazy";"Co7";" 16.121708733"
"jul";"crazy";"Co7";" 20.952296878"
"aug";"crazy";"Co7";"  1.559983160"
"sep";"crazy";"Co7";"  3.671051480"
"oct";"crazy";"Co7";"  0.099028648"
"nov";"crazy";"Co7";" 13.910384129"
"dec";"crazy";"Co7";" 14.799957390"
"jan";"month";"Co8";"  0.262876076"
"feb";"month";"Co8";"  7.273148994"
"mar";"month";"Co8";"  7.587583130"
"apr";"month";"Co8";"  4.674516813"
"may";"month";"Co8";"  6.196025662"
"jun";"month";"Co8";"  5.613482231"
"jul";"month";"Co8";"  5.120984642"
"aug";"month";"Co8";"  6.374106786"
"sep";"month";"Co8";"  5.704190922"
"oct";"month";"Co8";"  2.113847994"
"nov";"month";"Co8";"  1.200569543"
"dec";"month";"Co8";"  1.095767948"
"jan";"crazy";"Co8";"  8.682776591"
"feb";"crazy";"Co8";"  5.915044104"
"mar";"crazy";"Co8";"  3.221538038"
"apr";"crazy";"Co8";"  3.629137279"
"may";"crazy";"Co8";"  3.273578859"
"jun";"crazy";"Co8";"  0.020657670"
"jul";"crazy";"Co8";"  2.588231754"
"aug";"crazy";"Co8";"  4.441987336"
"sep";"crazy";"Co8";"  1.594948934"
"oct";"crazy";"Co8";"  1.477803493"
"nov";"crazy";"Co8";"  1.774570242"
"dec";"crazy";"Co8";"  1.632236664"
"jan";"month";"Co9";"  1.388658166"
"feb";"month";"Co9";"  2.488978561"
"mar";"month";"Co9";"  3.985243815"
"apr";"month";"Co9";"  6.673865786"
"may";"month";"Co9";" 10.297714961"
"jun";"month";"Co9";" 17.843521499"
"jul";"month";"Co9";" 15.389339322"
"aug";"month";"Co9";"  9.886988254"
"sep";"month";"Co9";" 17.279991470"
"oct";"month";"Co9";" 19.675353917"
"nov";"month";"Co9";"  7.259923490"
"dec";"month";"Co9";"  4.464938114"
"jan";"crazy";"Co9";" 14.442803070"
"feb";"crazy";"Co9";" 15.966837967"
"mar";"crazy";"Co9";"  9.725867275"
"apr";"crazy";"Co9";" 12.287638136"
"may";"crazy";"Co9";"  9.023864882"
"jun";"crazy";"Co9";"  2.043657500"
"jul";"crazy";"Co9";"  5.834565431"
"aug";"crazy";"Co9";"  9.095082072"
"sep";"crazy";"Co9";" 14.485956617"
"oct";"crazy";"Co9";" 10.219434760"
"nov";"crazy";"Co9";" 11.513774621"
"dec";"crazy";"Co9";"  8.090811726"
"jan";"month";"Co10";" 39.131553330"
"feb";"month";"Co10";" 38.459945542"
"mar";"month";"Co10";" 48.066855551"
"apr";"month";"Co10";" 48.382331918"
"may";"month";"Co10";" 71.222123807"
"jun";"month";"Co10";" 23.234529478"
"jul";"month";"Co10";" 22.665653264"
"aug";"month";"Co10";" 34.116120284"
"sep";"month";"Co10";" 43.739890556"
"oct";"month";"Co10";" 45.771416321"
"nov";"month";"Co10";" 26.635122554"
"dec";"month";"Co10";" 42.756069141"
"jan";"crazy";"Co10";" 16.097894155"
"feb";"crazy";"Co10";" 43.229747308"
"mar";"crazy";"Co10";" 60.905428160"
"apr";"crazy";"Co10";" 41.393371632"
"may";"crazy";"Co10";" 32.849922487"
"jun";"crazy";"Co10";" 33.199173969"
"jul";"crazy";"Co10";" 29.318612212"
"aug";"crazy";"Co10";" 32.942229915"
"sep";"crazy";"Co10";" 58.607968352"
"oct";"crazy";"Co10";" 58.909473488"
"nov";"crazy";"Co10";" 33.324976782"
"dec";"crazy";"Co10";" 30.104551688"
"jan";"month";"Sa4";"  6.448443341"
"feb";"month";"Sa4";"  6.270699241"
"mar";"month";"Sa4";"  9.631342788"
"apr";"month";"Sa4";"  9.524100242"
"may";"month";"Sa4";"  9.333055200"
"jun";"month";"Sa4";"  8.301692925"
"jul";"month";"Sa4";"  8.563593254"
"aug";"month";"Sa4";"  1.429357611"
"sep";"month";"Sa4";"  0.940303856"
"oct";"month";"Sa4";"  1.634269296"
"nov";"month";"Sa4";"  2.052953639"
"dec";"month";"Sa4";"  8.308973262"
"jan";"month";"Sa5";" 13.076937872"
"feb";"month";"Sa5";" 15.170012341"
"mar";"month";"Sa5";" 20.103295219"
"apr";"month";"Sa5";" 28.110391702"
"may";"month";"Sa5";" 20.106982383"
"jun";"month";"Sa5";" 17.097187003"
"jul";"month";"Sa5";" 23.813494875"
"aug";"month";"Sa5";" 20.900345070"
"sep";"month";"Sa5";" 13.860536911"
"oct";"month";"Sa5";" 17.954304521"
"nov";"month";"Sa5";" 14.464859066"
"dec";"month";"Sa5";" 21.051609859"
"jan";"month";"Sa6";" 55.384709868"
"feb";"month";"Sa6";" 48.377897095"
"mar";"month";"Sa6";" 46.123457593"
"apr";"month";"Sa6";" 41.179743706"
"may";"month";"Sa6";" 49.972956441"
"jun";"month";"Sa6";" 43.816021023"
"jul";"month";"Sa6";" 48.120014515"
"aug";"month";"Sa6";" 51.265079234"
"sep";"month";"Sa6";" 67.495208009"
"oct";"month";"Sa6";" 54.875266132"
"nov";"month";"Sa6";" 50.365290911"
"dec";"month";"Sa6";" 49.651579540"
"jan";"crazy";"Sa6";" 29.360114370"
"feb";"crazy";"Sa6";" 20.628946667"
"mar";"crazy";"Sa6";" 17.093128872"
"apr";"crazy";"Sa6";" 13.800290529"
"may";"crazy";"Sa6";" 10.277383542"
"jun";"crazy";"Sa6";" 13.684813418"
"jul";"crazy";"Sa6";"  1.125972361"
"aug";"crazy";"Sa6";" 10.118299849"
"sep";"crazy";"Sa6";"  2.905193886"
"oct";"crazy";"Sa6";"  3.785281231"
"nov";"crazy";"Sa6";"  5.913192409"
"dec";"crazy";"Sa6";" 10.175150900"
"jan";"month";"Sa7";"  3.334465202"
"feb";"month";"Sa7";"  1.994723195"
"mar";"month";"Sa7";"  5.493593685"
"apr";"month";"Sa7";"  1.862025838"
"may";"month";"Sa7";" 10.789053130"
"jun";"month";"Sa7";"  0.818833782"
"jul";"month";"Sa7";"  3.607229565"
"aug";"month";"Sa7";"  7.479986000"
"sep";"month";"Sa7";"  8.640996375"
"oct";"month";"Sa7";"  4.024163197"
"nov";"month";"Sa7";"  4.200208448"
"dec";"month";"Sa7";"  1.538585574"
"jan";"crazy";"Sa7";"  0.530281325"
"feb";"crazy";"Sa7";"  1.384313623"
"mar";"crazy";"Sa7";"  2.545253578"
"apr";"crazy";"Sa7";"  1.633439994"
"may";"crazy";"Sa7";"  1.264523372"
"jun";"crazy";"Sa7";"  6.986728368"
"jul";"crazy";"Sa7";"  2.875849783"
"aug";"crazy";"Sa7";"  1.997500568"
"sep";"crazy";"Sa7";"  1.291915770"
"oct";"crazy";"Sa7";"  0.039720248"
"nov";"crazy";"Sa7";"  0.116442146"
"dec";"crazy";"Sa7";"  8.036016949"
"jan";"month";"Sa9";"  1.740965692"
"feb";"month";"Sa9";"  3.946735928"
"mar";"month";"Sa9";"  1.264377178"
"apr";"month";"Sa9";"  2.413856142"
"may";"month";"Sa9";"  0.677868450"
"jun";"month";"Sa9";"  2.569536422"
"jul";"month";"Sa9";"  3.110780970"
"aug";"month";"Sa9";" 17.218782658"
"sep";"month";"Sa9";" 14.101881207"
"oct";"month";"Sa9";" 14.491941868"
"nov";"month";"Sa9";" 12.155424311"
"dec";"month";"Sa9";"  8.867900866"
"jan";"crazy";"Sa9";" 33.007236428"
"feb";"crazy";"Sa9";" 27.116627192"
"mar";"crazy";"Sa9";"  8.978173913"
"apr";"crazy";"Sa9";" 25.183043884"
"may";"crazy";"Sa9";" 13.396717469"
"jun";"crazy";"Sa9";" 28.054551910"
"jul";"crazy";"Sa9";"  4.788597105"
"aug";"crazy";"Sa9";" 22.707541925"
"sep";"crazy";"Sa9";" 24.170137471"
"oct";"crazy";"Sa9";" 23.732560662"
"nov";"crazy";"Sa9";" 12.166202350"
"dec";"crazy";"Sa9";" 13.338109422"
"jan";"month";"Sa11";" 34.088275363"
"feb";"month";"Sa11";" 44.026537581"
"mar";"month";"Sa11";" 36.911785109"
"apr";"month";"Sa11";" 51.506381672"
"may";"month";"Sa11";" 39.146203363"
"jun";"month";"Sa11";" 49.530161771"
"jul";"month";"Sa11";" 48.098029754"
"aug";"month";"Sa11";" 47.568431250"
"sep";"month";"Sa11";" 41.697373443"
"oct";"month";"Sa11";" 33.674849200"
"nov";"month";"Sa11";" 36.050760616"
"dec";"month";"Sa11";" 28.162864091"
"jan";"crazy";"Sa11";" 14.764487063"
"feb";"crazy";"Sa11";"  2.226038595"
"mar";"crazy";"Sa11";"  1.377026039"
"apr";"crazy";"Sa11";"  6.328863152"
"may";"crazy";"Sa11";" 23.700975044"
"jun";"crazy";"Sa11";" 12.771984743"
"jul";"crazy";"Sa11";" 27.423459305"
"aug";"crazy";"Sa11";"  0.715655952"
"sep";"crazy";"Sa11";"  2.078478066"
"oct";"crazy";"Sa11";"  3.158847110"
"nov";"crazy";"Sa11";" 15.706506534"
"dec";"crazy";"Sa11";" 14.618770454"
"jan";"month";"Sa14";" 75.881317551"
"feb";"month";"Sa14";" 31.223290891"
"mar";"month";"Sa14";" 82.680832428"
"apr";"month";"Sa14";" 79.308725418"
"may";"month";"Sa14";" 87.017160746"
"jun";"month";"Sa14";" 70.863820447"
"jul";"month";"Sa14";" 13.942834935"
"aug";"month";"Sa14";" 25.850428116"
"sep";"month";"Sa14";" 23.393629602"
"oct";"month";"Sa14";" 77.750302125"
"nov";"month";"Sa14";" 23.311394867"
"dec";"month";"Sa14";" 68.823117936"
"jan";"crazy";"Sa1";"  2.290427444"
"feb";"crazy";"Sa1";"  1.959962049"
"mar";"crazy";"Sa1";"  8.997948343"
"apr";"crazy";"Sa1";"  0.679369766"
"may";"crazy";"Sa1";" 19.201803999"
"jun";"crazy";"Sa1";" 16.258350169"
"jul";"crazy";"Sa1";" 12.401367504"
"aug";"crazy";"Sa1";" 15.890843741"
"sep";"crazy";"Sa1";" 12.188966887"
"oct";"crazy";"Sa1";" 11.815826993"
"nov";"crazy";"Sa1";" 15.003379998"
"dec";"crazy";"Sa1";" 16.511223254"
"jan";"crazy";"Sa13";"  5.995625974"
"feb";"crazy";"Sa13";"  2.720189936"
"mar";"crazy";"Sa13";"  1.511391387"
"apr";"crazy";"Sa13";"  8.678167450"
"may";"crazy";"Sa13";"  8.538066142"
"jun";"crazy";"Sa13";" 10.513599228"
"jul";"crazy";"Sa13";"  9.300289385"
"aug";"crazy";"Sa13";"  5.284589438"
"sep";"crazy";"Sa13";"  3.124028137"
"oct";"crazy";"Sa13";"  4.594552519"
"nov";"crazy";"Sa13";"  2.958246529"
"dec";"crazy";"Sa13";"  7.772906008"
"jan";"crazy";"Sa8";" 18.132294601"
"feb";"crazy";"Sa8";" 16.846389593"
"mar";"crazy";"Sa8";" 18.062354138"
"apr";"crazy";"Sa8";" 11.749982617"
"may";"crazy";"Sa8";"  0.221310478"
"jun";"crazy";"Sa8";"  6.414569934"
"jul";"crazy";"Sa8";"  5.699268086"
"aug";"crazy";"Sa8";"  9.518879390"
"sep";"crazy";"Sa8";"  5.021706574"
"oct";"crazy";"Sa8";"  6.192028772"
"nov";"crazy";"Sa8";"  3.208911901"
"dec";"crazy";"Sa8";"  0.314614813"
"jan";"month";"Sa20";" 59.198389233"
"feb";"month";"Sa20";" 51.099031547"
"mar";"month";"Sa20";" 47.420648892"
"apr";"month";"Sa20";" 48.934879095"
"may";"month";"Sa20";" 39.464275160"
"jun";"month";"Sa20";" 34.849637988"
"jul";"month";"Sa20";"  3.321002721"
"aug";"month";"Sa20";"134.995290891"
"sep";"month";"Sa20";"149.000394562"
"oct";"month";"Sa20";"121.996817639"
"nov";"month";"Sa20";" 88.506289415"
"dec";"month";"Sa20";" 69.010664785"
"jan";"crazy";"Sa20";" 60.173706897"
"feb";"crazy";"Sa20";" 52.834527321"
"mar";"crazy";"Sa20";" 50.090444990"
"apr";"crazy";"Sa20";" 52.487652313"
"may";"crazy";"Sa20";" 36.242225395"
"jun";"crazy";"Sa20";" 18.577912528"
"jul";"crazy";"Sa20";" 31.404801141"
"aug";"crazy";"Sa20";" 41.159148177"
"sep";"crazy";"Sa20";" 87.366400554"
"oct";"crazy";"Sa20";" 93.240738940"
"nov";"crazy";"Sa20";" 32.784588483"
"dec";"crazy";"Sa20";" 26.151028376"
"jan";"month";"Sa21";"  4.632121994"
"feb";"month";"Sa21";"  4.789654526"
"mar";"month";"Sa21";"  0.555101549"
"apr";"month";"Sa21";"  2.447563762"
"may";"month";"Sa21";"  2.970610564"
"jun";"month";"Sa21";"  1.844416110"
"jul";"month";"Sa21";"  3.035665341"
"aug";"month";"Sa21";"  5.014517413"
"sep";"month";"Sa21";"  4.129554082"
"oct";"month";"Sa21";"  4.340816493"
"nov";"month";"Sa21";"  7.397327392"
