"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa11";"Sa14";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa26";"Sa4";"Sa5";"Sa6";"Sa7";"Sa9"
144.47243;-185.6084225;103.451499;-54.940325;-14.169895;88.78750625;185.2293375;149.775915;40.814253325;-24.51999;-45.795885;-297.78187025;-299.4087175;57.41336;19.17193575;-76.78364;-163.725576825;-24.5586125;-83.936565;56.9796075;-158.606292333333;-280.232909;-7.24535500000002;9.67411249999998
-1.54696416666673;-129.62439875;139.083559625;109.72955;23.44154625;105.2875725;-133.06946;45.201965;105.652723333333;81.70102875;-157.06586875;-22.1928625;96.3376745;51.8746525;-67.1516825;-84.4099366666667;-49.01047;-389.779155;30.4628825;45.7281625;-85.8516809;-65.8674125;73.4527625;-76.2631125
104.587712375;35.5802358333333;166.903218;49.8236975;-17.393160625;110.15155;-67.7234625;84.0802875;43.5977183333333;46.5769575;-97.88371875;-59.7500075;-285.76635475;64.2809725;-33.7799225;2.564605;116.166065;-473.733116;-152.32389375;82.268967;-66.600745;-194.35727875;10.9258515833333;-42.4919015
201.844083333333;-113.87714725;127.7939226;-2.07793749999996;-16.3216475;95.6551575;101.407968333333;155.34789125;62.842604;38.3972474999999;-58.2312925;-285.89484375;-369.6199595;55.86292;-30.8614795;-67.6952825;41.0291904;284.671325;-129.57401975;55.12888225;-86.0770318333333;-279.55949775;-8.25046024999997;3.42993250000001
73.90773;-86.3653025;171.92606775;6.32636333333335;26.44379;113.1229975;94.2189585;113.13907625;-1.36890749999998;57.6903025;-60.002719;-197.15333575;-373.58695;74.367555;59.42784525;-6.91714649999997;120.847696;461.426919833333;-135.842936175;54.451022075;-50.0795131;-327.6799025;-18.3122745;-6.705294175
3.60227249999997;-81.2868485;128.102632;51.056228575;-7.48244;140.779853333333;-340.582025625;-30.932645;98.942255;62.4609685;-82.59066275;-188.89635475;-15.0022425;63.53986;-48.4022125;-187.55780825;-55.5264574999999;-259.910113583333;56.625765;59.71529575;-104.329816;-159.100080833333;23.24269625;17.2311985
21.95536775;-24.6528538333333;134.88297225;31.2725955;-43.5495;129.2062525;-79.139479;120.19471575;51.08578725;50.4149850000001;-30.442025;-307.9414025;-86.462575;46.5226875;0.74371;-177.79995325;-99.08553;-97.3140875;27.1874975000001;54.36200775;-66.67498675;-274.020406;7.78893825;10.57889
208.457129166667;9.31913666666668;121.04407625;-28.463965;-17.4673866666666;128.8919385;68.4432875;169.326066166667;66.2969980833333;10.5107325;-23.76242;-287.646717;-317.95933775;65.4189375;55.95930415;-125.8944375;-74.790410975;153.411065;-126.81491;61.7189225;-115.89906585;-308.69509575;-29.96532125;35.0233658333333
29.57936;-250.13123325;129.648230125;52.73997;19.6881525;112.993741666667;127.12573;118.18491;58.495733;30.924825;14.0410075;-268.7271562;-216.2058775;67.035335;38.91738375;-135.12698425;-155.22369575;-111.105698333333;4.04339249999998;53.5192575;-112.84425825;-355.0610475;-48.2367925;11.45636
119.8139175;-84.080763175;163.67735425;107.29821;95.390784;104.21563;-108.1239775;80.96602;43.1001825;56.68958575;-118.57262075;22.5718925;-153.9798325;52.8311125;-11.1159425;72.5496675;146.6589025;-484.9424375;-130.63641625;45.6283075;-49.0070375;-72.919585;53.360405;-54.75449
102.9639025;-155.634834;178.217154;45.87972;49.581862;116.7943225;-98.9885383333333;67.0900525;55.7773841666667;102.738143;-100.9116075;85.972365;19.30955725;64.2922875;-51.98277;30.5134858333333;94.3153325;-479.246354166667;-68.54273685;62.0693175;-56.96483;-28.7496975;73.462765;-64.459875
226.83825;-50.9021575;151.083049;50.4813975;41.8684455;92.52613;-58.2708099999999;72.7472275;108.386384166667;43.740528975;-141.61429375;41.5389075;55.68276525;60.0751875;-23.6761283333333;6.436825;16.5803975;-420.3584475;-9.34547375;55.3827375;-53.150955;-22.83108;82.2276825;-74.285905
