"m";"task";"participant";"angularShift"
"feb";"month";"Co7";79.733540831
"mar";"month";"Co7";79.182600374
"apr";"month";"Co7";60.24895957
"may";"month";"Co7";69.522093221
"jun";"month";"Co7";47.937110078
"jul";"month";"Co7";41.058723026
"aug";"month";"Co7";37.845370436
"sep";"month";"Co7";22.538301151
"oct";"month";"Co7";27.609769592
"nov";"month";"Co7";31.241588365
"dec";"month";"Co7";24.196618844
"jan";"crazy";"Co7";21.073736013
"feb";"crazy";"Co7";21.355334739
"mar";"crazy";"Co7";22.365223935
"apr";"crazy";"Co7";14.786020695
"may";"crazy";"Co7";19.108857136
"jun";"crazy";"Co7";6.420050688
"jul";"crazy";"Co7";3.308903703
"aug";"crazy";"Co7";25.530531823
"sep";"crazy";"Co7";36.479334347
"oct";"crazy";"Co7";26.431434133
"nov";"crazy";"Co7";2.836817835
"dec";"crazy";"Co7";2.891248926
"jan";"month";"Co8";38.636416612
"feb";"month";"Co8";108.826399891
"mar";"month";"Co8";81.680014254
"apr";"month";"Co8";67.04730623
"may";"month";"Co8";62.87681423
"jun";"month";"Co8";40.500396607
"jul";"month";"Co8";33.945125943
"aug";"month";"Co8";41.252242184
"sep";"month";"Co8";31.504201711
"oct";"month";"Co8";35.301560222
"nov";"month";"Co8";40.910141749
"dec";"month";"Co8";32.126482676
"jan";"crazy";"Co8";24.853912698
"feb";"crazy";"Co8";9.374795351
"mar";"crazy";"Co8";13.358323368
"apr";"crazy";"Co8";18.307452593
"may";"crazy";"Co8";24.938333124
"jun";"crazy";"Co8";20.85989456
"jul";"crazy";"Co8";28.992942755
"aug";"crazy";"Co8";33.335756359
"sep";"crazy";"Co8";18.229765186
"oct";"crazy";"Co8";29.121074266
"nov";"crazy";"Co8";33.903987682
"dec";"crazy";"Co8";28.6026913
"jan";"month";"Co9";37.974195848
"feb";"month";"Co9";48.239681149
"mar";"month";"Co9";30.129610633
"apr";"month";"Co9";28.530817167
"may";"month";"Co9";14.651572044
"jun";"month";"Co9";7.123259842
"jul";"month";"Co9";8.038568511
"aug";"month";"Co9";66.725356904
"sep";"month";"Co9";81.027787904
"oct";"month";"Co9";48.639467632
"nov";"month";"Co9";58.362541271
"dec";"month";"Co9";52.215512688
"jan";"crazy";"Co9";0.66905239
"feb";"crazy";"Co9";5.528707177
"mar";"crazy";"Co9";7.931286911
"apr";"crazy";"Co9";4.920601802
"may";"crazy";"Co9";-9.733613832
"jun";"crazy";"Co9";-15.765930556
"jul";"crazy";"Co9";-17.292942555
"aug";"crazy";"Co9";18.824099558
"sep";"crazy";"Co9";1.531273896
"oct";"crazy";"Co9";-0.693278655
"nov";"crazy";"Co9";-4.455417529
"dec";"crazy";"Co9";-9.135829539
"jan";"month";"Co10";-7.130367254
"feb";"month";"Co10";5.610678932
"mar";"month";"Co10";-3.222612073
"apr";"month";"Co10";-0.013908768
"may";"month";"Co10";44.271013484
"jun";"month";"Co10";-2.152969442
"jul";"month";"Co10";-21.866749964
"aug";"month";"Co10";12.496055922
"sep";"month";"Co10";5.894495733
