"m","task","participant","angularShift"
"feb","crazy","Co7",-3.30314974
"mar","crazy","Co7",-0.01682016
"apr","crazy","Co7",-12.21822947
"may","crazy","Co7",-22.45359423
"jun","crazy","Co7",-13.5138234
"jul","crazy","Co7",-18.60744822
"aug","crazy","Co7",1.19053709
"sep","crazy","Co7",-2.3697314
"oct","crazy","Co7",-0.78792463
"nov","crazy","Co7",12.57266387
"dec","crazy","Co7",-12.68276116
"jan","month","Co8",0.22489347
"feb","month","Co8",-6.50003953
"mar","month","Co8",-6.78028704
"apr","month","Co8",-4.17474343
"may","month","Co8",-5.58049798
"jun","month","Co8",-5.04948759
"jul","month","Co8",-5.06851188
"aug","month","Co8",-6.21529385
"sep","month","Co8",-5.65299487
"oct","month","Co8",-2.26416075
"nov","month","Co8",-1.41224956
"dec","month","Co8",-1.34174249
"jan","crazy","Co8",-6.8566513
"feb","crazy","Co8",-4.22887553
"mar","crazy","Co8",-1.91626589
"apr","crazy","Co8",-2.2187293
"may","crazy","Co8",-2.0904445
"jun","crazy","Co8",-0.79892034
"jul","crazy","Co8",-1.52825181
"aug","crazy","Co8",-2.93524022
"sep","crazy","Co8",-0.78775176
"oct","crazy","Co8",-0.75955761
"nov","crazy","Co8",-0.77805445
"dec","crazy","Co8",-0.72144213
"jan","month","Co9",-1.57797372
"feb","month","Co9",-1.94011132
"mar","month","Co9",-3.42565786
"apr","month","Co9",6.06980938
"may","month","Co9",-8.7884187
"jun","month","Co9",-14.52641476
"jul","month","Co9",-8.27750882
"aug","month","Co9",-12.12486763
"sep","month","Co9",-12.54849217
"oct","month","Co9",-16.56957347
"nov","month","Co9",-6.40748826
"dec","month","Co9",-4.06484541
"jan","crazy","Co9",-13.76370293
"feb","crazy","Co9",-13.76835429
"mar","crazy","Co9",-7.2125993
"apr","crazy","Co9",-11.2330756
"may","crazy","Co9",-7.23948855
"jun","crazy","Co9",-0.109466
"jul","crazy","Co9",-4.24220611
"aug","crazy","Co9",-8.40689654
"sep","crazy","Co9",-13.37227368
"oct","crazy","Co9",-9.17898857
"nov","crazy","Co9",-9.94988336
"dec","crazy","Co9",-6.57856617
"jan","month","Co10",32.93901145
"feb","month","Co10",30.25063406
"mar","month","Co10",-45.41846257
"apr","month","Co10",40.75403935
"may","month","Co10",56.16032501
"jun","month","Co10",17.4464303
"jul","month","Co10",17.61535411
"aug","month","Co10",27.33702587
"sep","month","Co10",40.81830143
"oct","month","Co10",39.2070479
"nov","month","Co10",20.48519599
"dec","month","Co10",-40.25016096
"jan","crazy","Co10",11.16299237
"feb","crazy","Co10",34.22094778
"mar","crazy","Co10",50.3105779
"apr","crazy","Co10",32.67291859
"may","crazy","Co10",28.09780406
"jun","crazy","Co10",26.60139332
"jul","crazy","Co10",24.03526217
"aug","crazy","Co10",25.75314694
"sep","crazy","Co10",-58.14685225
"oct","crazy","Co10",-55.36881271
"nov","crazy","Co10",29.08199599
"dec","crazy","Co10",23.10432761
"jan","month","Sa4",-5.73558719
"feb","month","Sa4",-5.37419696
"mar","month","Sa4",-8.41564066
"apr","month","Sa4",-8.30395832
"may","month","Sa4",-8.1331239
"jun","month","Sa4",-7.23428715
"jul","month","Sa4",-7.46348968
"aug","month","Sa4",-1.68687057
"sep","month","Sa4",-1.41711128
"oct","month","Sa4",-2.04467056
"nov","month","Sa4",-2.18604281
"dec","month","Sa4",-7.57294413
"jan","month","Sa5",11.2396502
"feb","month","Sa5",12.88612402
"mar","month","Sa5",17.08133438
"apr","month","Sa5",23.77319636
"may","month","Sa5",17.01517389
"jun","month","Sa5",13.85430356
"jul","month","Sa5",19.56910679
"aug","month","Sa5",16.85886765
"sep","month","Sa5",10.93969352
"oct","month","Sa5",14.86537622
"nov","month","Sa5",12.28779188
"dec","month","Sa5",17.99495376
"jan","month","Sa6",47.65920053
"feb","month","Sa6",41.40064744
"mar","month","Sa6",40.29768099
"apr","month","Sa6",36.02026662
"may","month","Sa6",43.90107948
"jun","month","Sa6",37.83189917
"jul","month","Sa6",42.50017481
"aug","month","Sa6",46.52019472
"sep","month","Sa6",61.87284553
"oct","month","Sa6",50.6995502
"nov","month","Sa6",41.52577723
"dec","month","Sa6",40.92436039
"jan","crazy","Sa6",-23.0387751
"feb","crazy","Sa6",-16.16943482
"mar","crazy","Sa6",-13.69630643
"apr","crazy","Sa6",-11.23572774
"may","crazy","Sa6",-10.36866367
"jun","crazy","Sa6",-12.46047991
"jul","crazy","Sa6",-5.32854146
"aug","crazy","Sa6",-8.39450515
"sep","crazy","Sa6",-2.61457285
"oct","crazy","Sa6",-3.39460534
"nov","crazy","Sa6",-1.03823708
"dec","crazy","Sa6",-8.65908336
"jan","month","Sa7",2.86402496
"feb","month","Sa7",1.70012682
"mar","month","Sa7",4.74953756
"apr","month","Sa7",1.57228991
"may","month","Sa7",9.13903858
"jun","month","Sa7",-0.53924511
"jul","month","Sa7",-3.10728979
"aug","month","Sa7",-6.91354377
"sep","month","Sa7",-7.95071602
"oct","month","Sa7",-4.09691225
"nov","month","Sa7",-4.00321365
"dec","month","Sa7",-1.35279467
"jan","crazy","Sa7",-0.50823692
"feb","crazy","Sa7",-1.30820705
"mar","crazy","Sa7",-2.29984069
"apr","crazy","Sa7",-1.57913672
"may","crazy","Sa7",1.20429207
"jun","crazy","Sa7",6.15417567
"jul","crazy","Sa7",-2.45824645
"aug","crazy","Sa7",-1.82666525
"sep","crazy","Sa7",-1.31539513
"oct","crazy","Sa7",-0.18793405
"nov","crazy","Sa7",0.02003943
"dec","crazy","Sa7",7.19882913
"jan","month","Sa9",1.38235287
"feb","month","Sa9",-3.02715099
"mar","month","Sa9",-1.5686441
"apr","month","Sa9",-1.85172112
"may","month","Sa9",-0.37955227
"jun","month","Sa9",-2.1682467
"jul","month","Sa9",-2.61844194
"aug","month","Sa9",14.53938747
"sep","month","Sa9",12.37282122
"oct","month","Sa9",12.48853809
"nov","month","Sa9",10.36668338
"dec","month","Sa9",7.49958565
"jan","crazy","Sa9",27.42103349
"feb","crazy","Sa9",21.6357285
"mar","crazy","Sa9",7.1774327
"apr","crazy","Sa9",20.31672144
"may","crazy","Sa9",11.29635797
"jun","crazy","Sa9",22.22639435
"jul","crazy","Sa9",5.52138732
"aug","crazy","Sa9",18.65459752
"sep","crazy","Sa9",21.74735059
"oct","crazy","Sa9",20.7266216
"nov","crazy","Sa9",10.25746586
"dec","crazy","Sa9",10.23212981
"jan","month","Sa11",26.77439105
"feb","month","Sa11",36.36158337
"mar","month","Sa11",32.35595724
"apr","month","Sa11",50.14977913
"may","month","Sa11",-36.59383905
"jun","month","Sa11",43.47074724
"jul","month","Sa11",39.32776439
"aug","month","Sa11",37.95445811
"sep","month","Sa11",34.58993683
"oct","month","Sa11",27.50025493
"nov","month","Sa11",29.2760257
"dec","month","Sa11",21.82738782
"jan","crazy","Sa11",-9.6067216
"feb","crazy","Sa11",1.41462247
"mar","crazy","Sa11",1.70133424
"apr","crazy","Sa11",5.52161317
"may","crazy","Sa11",18.77841778
"jun","crazy","Sa11",-9.00469814
"jul","crazy","Sa11",21.91097185
"aug","crazy","Sa11",0.83416077
"sep","crazy","Sa11",-1.65703043
"oct","crazy","Sa11",2.67496142
"nov","crazy","Sa11",12.73631584
"dec","crazy","Sa11",11.39032189
"jan","month","Sa14",63.14054935
"feb","month","Sa14",-24.6627746
"mar","month","Sa14",67.48839255
"apr","month","Sa14",69.88830783
"may","month","Sa14",73.39105658
"jun","month","Sa14",62.82181673
"jul","month","Sa14",11.29730072
"aug","month","Sa14",-25.80831235
"sep","month","Sa14",19.58025382
"oct","month","Sa14",65.71184804
"nov","month","Sa14",18.58475921
"dec","month","Sa14",54.92306973
"jan","crazy","Sa1",-2.00674247
"feb","crazy","Sa1",1.3049646
"mar","crazy","Sa1",8.01713039
"apr","crazy","Sa1",0.7951385
"may","crazy","Sa1",-15.1967002
"jun","crazy","Sa1",13.26485345
"jul","crazy","Sa1",-8.71150061
"aug","crazy","Sa1",14.36752486
"sep","crazy","Sa1",11.45899231
"oct","crazy","Sa1",11.32343533
"nov","crazy","Sa1",12.10248505
"dec","crazy","Sa1",13.89194741
"jan","crazy","Sa13",-5.21402838
"feb","crazy","Sa13",-2.3747634
"mar","crazy","Sa13",-1.32382053
"apr","crazy","Sa13",-7.66180673
"may","crazy","Sa13",7.20075618
"jun","crazy","Sa13",8.56332034
"jul","crazy","Sa13",-7.17073032
"aug","crazy","Sa13",-4.6574712
"sep","crazy","Sa13",-2.92765371
"oct","crazy","Sa13",-4.14775332
"nov","crazy","Sa13",2.65905726
"dec","crazy","Sa13",-6.15356986
"jan","crazy","Sa8",-15.18665712
"feb","crazy","Sa8",-14.03916888
"mar","crazy","Sa8",-15.21622158
