"Co1";"Co10";"Co2";"Co3";"Co4";"Co5";"Co6";"Co7";"Co8";"Co9";"Sa1";"Sa11";"Sa13";"Sa20";"Sa21";"Sa22";"Sa23";"Sa24";"Sa25";"Sa6";"Sa7";"Sa8";"Sa9"
-34.0555815;11.5410385;33.4377775;46.7059225;25.254175;-16.0841375;-51.681046;-16.87258;64.2410625;23.14499625;13.3944745;27.333825;11.67214225;-16.496170325;-5.20478;-35.3695428333333;11.18328;29.343585;-28.655006;-21.88677;-24.15585;-5.291611;-28.2404989583333
-79.3495975;-0.205784249999999;0.077707199999999;13.51127;-2.49387005;-9.99755;-24.3841025;-29.14515775;87.065625;58.9125176;91.7237775;20.656348275;124.884181375;-18.7916189;15.46588625;-31.138854;53.330874;26.9061695;42.83575365;17.7226795;27.314875;29.011877;21.888113
5.20697500000006;-15.481115;-4.124145;14.7256415;-14.03880375;-9.53472499999999;-22.296195;15.7767675;106.72816125;-59.8350925;97.4274325000001;-7.31353250000001;70.8380616666667;-22.06565575;6.43825925;-25.96837625;39.107111;-31.132370425;-20.3370925;4.37464299999999;67.1400896666667;-14.19985325;2.022335
33.3487808333333;1.19223;-26.955215;10.86805;-17.542515;-22.285335;9.69233249999996;-24.4371025;20.789635;26.43335;12.0680874999999;20.2182575;-11.3330375;15.061675;-25.740875;-34.6712375;19.0086925;-75.2671575;18.9214425;-50.5643625;-41.9457166666667;-22.7546725;-2.67228499999999
-21.0384458333334;27.60562;12.1909625;24.836935;-14.6453074999999;-15.427675;-0.709855000000061;-0.815375000000017;22.0973575;28.8816025;-6.68311250000005;42.84401;-110.250974;-16.5521575;-10.0318225;2.07488999999998;27.0260025;-19.6247925;-76.497995;-41.40952;-51.12688;23.1341525;-104.165715
-4.95413083333334;34.952595;-19.7181025;37.5137375;-10.94621125;-19.2101375;-32.439614;71.507247325;45.998235;54.84566375;-21.96361425;25.57111375;-3.8636464;-14.185114375;-4.89305499999998;-23.42198675;14.4981125;-18.118195;-7.01613499999999;-4.8066575;47.5018966666667;2.41136;22.57796985
22.3374475;26.8137;-7.511955;27.0694325;-0.371199999999988;-5.67672999999999;26.013975125;58.04069125;29.4972875;46.91518;-36.7735;35.73496;2.36998583333335;8.06117425;-9.74790249999998;-20.5521525;7.74987250000001;2.11090250000001;-16.8654875;0.0351675;29.1673366666666;-40.902844;11.9816875
-33.2610825;-85.7105725;19.033855;39.4297225;-6.55679000000001;-4.74108749999999;77.1848425;3.25928250000004;27.419795;-22.8436825;-20.1896225;28.334605;18.5632225;-7.14159950000001;-15.2422925;-4.96860749999999;19.869195;-53.6973175;27.926895;-25.68922;-9.21649000000002;25.850715;51.247726
-40.7217825;-21.2212125;-37.62924;16.9186125;-23.5049225;-29.3418475;-132.86413;-101.69964;35.013815;6.10091750000001;1.41251666666665;-15.65389;-9.6698925;-11.2822565;-7.12554249999999;-41.6839075;31.7106575;-58.36373;-22.2275775000001;-48.05747;2.76593333333335;12.847415;-28.5573125
41.6625166666667;-29.9535975;-30.77373875;29.8255025;-29.5107465;-6.29107975000001;-38.969905;-15.3260675;102.38085025;0.86836150000002;42.2347375;-2.79038499999999;25.1711149166667;-27.7479985;3.54582375;6.75561750000003;32.74221225;-38.1211203;8.89389750000001;15.3056845;46.6723355;0.848361749999995;24.97282875
28.887725;17.8454625;51.057582;26.2631715;-3.83803374999999;-25.92886;-15.804955;81.378039175;46.7576075;-5.55171000000001;50.303435;22.252386;104.4505275;47.28597025;-3.1928515;32.757435;51.06843375;10.7794981;44.49081925;23.026887025;60.61082;1.388464;13.6944491666667
53.04767;37.5740745;16.0976135;47.9871575;-6.35706175;-5.5048075;9.55282756666666;2.03322249999999;47.2160725;38.22097895;1.63681124999999;34.841872825;108.0914735;-4.0316779;-6.073995;36.620675;58.3190065;47.352392175;114.68555275;30.8427665;-29.2055366666667;2.120914;7.637
