"participant";"axis";"task";"statistic";"pvalue";"cohenD";"estimate"
"Co1";"z";"month";-5.59129699773474;"0.0002304579";1.68583947572061;-90.4469696969698
"Co2";"z";"month";-7.8010053251708;"0.000008293155";2.25195626221853;-287.916666666667
"Co3";"z";"month";-4.685115114546;"0.0006660106";1.35247623628376;-228.395833333333
"Co4";"z";"month";-2.96928626970917;"0.01276163";0.857159113558823;-30.5486111111111
"Co5";"z";"month";-5.52623584289026;"0.0001790303";1.59528687574902;-47.0138888888889
"Co6";"z";"month";1.18097703103094;"0.2625171";0.34091870338624;106.930555555556
"Co7";"z";"month";-3.61659418762019;"0.004050531";1.04402081388608;-203.673611111111
"Co8";"z";"month";-6.62159460127547;"0.0000375245";1.91148971275548;-304.604166666667
"Co9";"z";"month";-8.83881470798067;"0.000002500706";2.55154602548493;-244.1875
"Co10";"z";"month";0.604422193712501;"0.5578239";0.174481658122048;26.9027777777778
"Sa4";"z";"month";-7.60426895122203;"0.00001054609";2.19516336298918;-265.458333333333
"Sa5";"z";"month";-1.45967117204924;"0.1723417";0.421370772055483;-21.5
"Sa6";"z";"month";3.1030046778238;"0.01005011";0.89576029301912;194.027777777778
"Sa7";"z";"month";-6.67602413757414;"0.00003486718";1.92720216647244;-178.6875
"Sa9";"z";"month";3.56650056018948;"0.004422125";1.02956002924517;16.7638888888889
"Sa11";"z";"month";2.83427907627517;"0.0162473";0.818185893822997;93.625
"Sa14";"z";"month";4.5458666525564;"0.0008357821";1.31227866777679;118.0625
"Sa20";"z";"month";1.66671293448523;"0.1237597";0.481138580693439;92.4583333333333
"Sa21";"z";"month";-31.6434608317921;"0.000000000003731055";9.13468031466328;-76.9791666666667
"Sa22";"z";"month";-1.95932540413136;"0.07590169";0.565608524752655;-85.2916666666667
"Sa23";"z";"month";-3.55401981646283;"0.004520052";1.02595714887004;-148.833333333333
"Sa24";"z";"month";-7.79481831546476;"0.000008355515";2.2501702263589;-175.291666666667
"Sa25";"z";"month";0.902487441820136;"0.3861337";0.260525683737556;91.3125
"Sa26";"z";"month";2.02288090311176;"0.06807858";0.583955416975064;87.5416666666667
"Co1";"X";"month";-3.9555474164821;"0.002705874";1.19264242008462;-88.4630879159091
"Co2";"X";"month";-54.633914124758;"0.00000000000000952468";15.771452513406;-529.901364114583
"Co3";"X";"month";-8.22437483919951;"0.000005016727";2.37417251366411;-366.853382533333
