user_id;mouse_x;mouse_y;type;didall
Co1;70.9814431063028;32.5406264055428;control;yes
Co10;42.8845867529569;26.9529045631527;control;yes
Co2;26.5782917006481;25.7548453840103;control;yes
Co3;36.973096969778;26.9364807402531;control;yes
Co4;29.2978277645737;28.7230055172277;control;yes
Co5;34.5932584776296;25.9634395305375;control;yes
Co6;37.1308352937869;44.8738178656322;control;yes
Co7;32.8029327051115;30.6752111297062;control;yes
Co8;42.1719484558015;48.9425748307831;control;yes
Co9;37.1617467382446;28.4954962160642;control;yes
Sa1;65.3863225987998;32.9114914318719;synaesthete;no
Sa11;15.2299983595959;15.1725332128509;synaesthete;yes
Sa13;16.3929690590578;16.2208251522887;synaesthete;no
Sa20;21.6764427222326;22.812768315935;synaesthete;yes
Sa21;48.4469253091648;52.6830194295977;synaesthete;yes
Sa22;25.6844046677959;23.2409277414834;synaesthete;yes
Sa23;20.7704597189013;26.5823450434701;synaesthete;yes
Sa24;25.2974139563727;22.6797077264139;synaesthete;yes
Sa25;16.8497635157969;31.0810327278851;synaesthete;yes
Sa6;31.8523311344293;34.5850429677762;synaesthete;yes
Sa7;33.7725037997767;33.2296806096469;synaesthete;yes
Sa8;94.3430569385737;76.4622438669077;synaesthete;no
Sa9;41.9349034433004;37.1709974264526;synaesthete;yes
