"m";"condition";"task";"participant";"z";"X";"y"
"oct";"hd";"crazy";"Co10";1886.33333333333;391.30636;-228.74283
"sep";"hd";"crazy";"Co10";1985.75;440.6588225;-26.18852325
"apr";"str";"crazy";"Co10";1897;200.1851825;179.0616025
"aug";"str";"crazy";"Co10";1856.75;125.301385;-10.45608375
"dec";"str";"crazy";"Co10";1945;-148.22448;-261.8581575
"feb";"str";"crazy";"Co10";1920.5;174.7477675;440.2979575
"jan";"str";"crazy";"Co10";1904;38.390786325;485.5893375
"jul";"str";"crazy";"Co10";1890.25;-171.209715;196.6040925
"jun";"str";"crazy";"Co10";1899.25;-112.601966;237.5529575
"mar";"str";"crazy";"Co10";1871;103.6664125;283.889395
"may";"str";"crazy";"Co10";1800.5;-167.1241975;226.313675
"nov";"str";"crazy";"Co10";1763.75;-207.6775325;-136.9474825
"oct";"str";"crazy";"Co10";1810;382.2855225;-210.8973675
"sep";"str";"crazy";"Co10";1914.5;489.6692375;11.38555125
"apr";"tr";"crazy";"Co10";2085.75;203.446205;202.398475
"aug";"tr";"crazy";"Co10";1993;186.801095;-48.03449125
"dec";"tr";"crazy";"Co10";1788.75;-75.3878195;-208.132165
"feb";"tr";"crazy";"Co10";2091.5;191.7006975;435.71747
"jan";"tr";"crazy";"Co10";1962;70.86206625;483.7484725
"jul";"tr";"crazy";"Co10";1779.25;-56.0066025;191.2525625
"jun";"tr";"crazy";"Co10";1808.5;19.92781575;259.159255
"mar";"tr";"crazy";"Co10";2082.25;214.1262275;376.2145075
"may";"tr";"crazy";"Co10";1737.75;23.3490825;254.7398825
"nov";"tr";"crazy";"Co10";1677;11.995173075;-135.16655875
"oct";"tr";"crazy";"Co10";2241;353.85543;-269.5303
"sep";"tr";"crazy";"Co10";2384.25;365.662615;-51.938094
"apr";"hd";"month";"Co10";1934.75;-263.1232225;156.0051575
"aug";"hd";"month";"Co10";1883.5;65.500615;-47.227818
"dec";"hd";"month";"Co10";2021.75;299.981825;-243.698245
"feb";"hd";"month";"Co10";1900;65.3299525;412.1934525
"jan";"hd";"month";"Co10";1936.5;-276.5832475;386.8633
"jul";"hd";"month";"Co10";1904.75;-188.941059;-22.4547255
"jun";"hd";"month";"Co10";1912.5;136.485515;23.21831865
"mar";"hd";"month";"Co10";1969.75;238.906295;363.2046925
"may";"hd";"month";"Co10";1896.75;91.49068725;143.104324
"nov";"hd";"month";"Co10";1920.25;29.15258635;-208.6323125
"oct";"hd";"month";"Co10";1972;-267.7384125;-221.14718
"sep";"hd";"month";"Co10";1920.75;321.4648;-71.75607875
"apr";"str";"month";"Co10";1955.75;-238.709585;149.6211775
"aug";"str";"month";"Co10";1904.25;3.71037125;34.40548065
"dec";"str";"month";"Co10";1986.75;303.2619425;-214.9776775
"feb";"str";"month";"Co10";1939.25;32.96758925;442.7175675
"jan";"str";"month";"Co10";1991.75;-271.24907;423.68457
"jul";"str";"month";"Co10";1910.25;-65.254362;32.90239425
"jun";"str";"month";"Co10";1915;147.3726875;124.58668
"mar";"str";"month";"Co10";1958.75;284.14085;319.8049675
"may";"str";"month";"Co10";1915;-114.80016325;92.31421
"nov";"str";"month";"Co10";1922.75;17.741355825;-195.75405
"oct";"str";"month";"Co10";1966.25;-286.1249275;-217.57268
"sep";"str";"month";"Co10";1918.75;262.790265;-41.7803235
"apr";"tr";"month";"Co10";1812.75;-53.1011625;217.30776
"aug";"tr";"month";"Co10";1911;133.33477;-41.63574675
"dec";"tr";"month";"Co10";2209.66666666667;267.681706666667;-238.730956666667
"feb";"tr";"month";"Co10";1977;146.8447365;400.4010675
"jan";"tr";"month";"Co10";1768;-184.8837675;464.6616525
"jul";"tr";"month";"Co10";1851.25;16.0324865;32.465641
"jun";"tr";"month";"Co10";2007.66666666667;172.025541333333;83.8815366666667
"mar";"tr";"month";"Co10";2209;274.821713333333;295.143566666667
"may";"tr";"month";"Co10";1935.25;135.33107;158.88891
"nov";"tr";"month";"Co10";1939.25;101.822119;-185.2593825
"oct";"tr";"month";"Co10";1724.75;-130.4900935;-197.5098425
"sep";"tr";"month";"Co10";2150.5;313.6924225;-59.69188725
"apr";"hd";"crazy";"Co2";1774.5;310.8038825;128.934015
"aug";"hd";"crazy";"Co2";1700.75;333.0679325;13.25550885
