"m";"task";"participant";"angularShift"
"aug";"month";"Co6";"  8.72771433"
"sep";"month";"Co6";"  0.21329135"
"oct";"month";"Co6";"  0.66287059"
"nov";"month";"Co6";"  0.83939158"
"dec";"month";"Co6";"  2.29084628"
"jan";"crazy";"Co6";" 16.82056861"
"feb";"crazy";"Co6";"  9.20784213"
"mar";"crazy";"Co6";"  8.14789402"
"apr";"crazy";"Co6";" 42.49472875"
"may";"crazy";"Co6";"  2.59735574"
"jun";"crazy";"Co6";"  8.94892399"
"jul";"crazy";"Co6";" 10.19743049"
"aug";"crazy";"Co6";" 18.02715276"
"sep";"crazy";"Co6";" 28.96390445"
"oct";"crazy";"Co6";" 34.39044985"
"nov";"crazy";"Co6";"  6.21442528"
"dec";"crazy";"Co6";" 19.36717447"
"jan";"month";"Co7";" 92.96863272"
"feb";"month";"Co7";" 86.91636335"
"mar";"month";"Co7";" 82.64217211"
"apr";"month";"Co7";" 64.06938247"
"may";"month";"Co7";" 74.21439822"
"jun";"month";"Co7";" 56.50090406"
"jul";"month";"Co7";" 44.99265779"
"aug";"month";"Co7";" 41.04198415"
"sep";"month";"Co7";" 23.51239251"
"oct";"month";"Co7";" 29.03798480"
"nov";"month";"Co7";" 33.45128546"
"dec";"month";"Co7";" 25.21175545"
"jan";"crazy";"Co7";" 24.31979012"
"feb";"crazy";"Co7";" 24.62356015"
"mar";"crazy";"Co7";" 27.41360826"
"apr";"crazy";"Co7";" 17.35498977"
"may";"crazy";"Co7";" 18.93876111"
"jun";"crazy";"Co7";"  7.17672915"
"jul";"crazy";"Co7";"  3.16581350"
"aug";"crazy";"Co7";" 29.88317716"
"sep";"crazy";"Co7";" 40.35478421"
"oct";"crazy";"Co7";" 29.26264347"
"nov";"crazy";"Co7";"  3.54110602"
"dec";"crazy";"Co7";"  2.79500996"
"jan";"month";"Co8";" 46.56035755"
"feb";"month";"Co8";"120.02709631"
"mar";"month";"Co8";" 93.14628241"
"apr";"month";"Co8";" 80.88377330"
"may";"month";"Co8";" 73.47209066"
"jun";"month";"Co8";" 47.59246539"
"jul";"month";"Co8";" 38.16627229"
"aug";"month";"Co8";" 46.27756959"
"sep";"month";"Co8";" 35.13772982"
"oct";"month";"Co8";" 39.70482639"
"nov";"month";"Co8";" 46.34460634"
"dec";"month";"Co8";" 36.82477048"
"jan";"crazy";"Co8";" 27.36119807"
"feb";"crazy";"Co8";"  5.53482043"
"mar";"crazy";"Co8";" 12.12659232"
"apr";"crazy";"Co8";" 20.22537931"
"may";"crazy";"Co8";" 28.51749495"
"jun";"crazy";"Co8";" 23.69467193"
"jul";"crazy";"Co8";" 33.14501443"
"aug";"crazy";"Co8";" 40.69234086"
"sep";"crazy";"Co8";" 23.97856370"
"oct";"crazy";"Co8";" 37.72987754"
"nov";"crazy";"Co8";" 39.48434919"
"dec";"crazy";"Co8";" 33.03179434"
"jan";"month";"Co9";" 42.35546547"
"feb";"month";"Co9";" 53.00818726"
"mar";"month";"Co9";" 31.77486453"
"apr";"month";"Co9";" 29.33124236"
"may";"month";"Co9";" 12.16421034"
"jun";"month";"Co9";"  2.26748635"
"jul";"month";"Co9";" 27.98410405"
"aug";"month";"Co9";"157.27528639"
"sep";"month";"Co9";" 95.28110006"
"oct";"month";"Co9";" 60.18858244"
"nov";"month";"Co9";" 69.35391393"
"dec";"month";"Co9";" 61.26284386"
"jan";"crazy";"Co9";"  0.69154583"
"feb";"crazy";"Co9";"  6.87831803"
"mar";"crazy";"Co9";"  8.15811704"
"apr";"crazy";"Co9";"  6.03948267"
"may";"crazy";"Co9";" 10.42636252"
"jun";"crazy";"Co9";" 16.66719302"
"jul";"crazy";"Co9";" 17.78472113"
"aug";"crazy";"Co9";" 22.89104746"
"sep";"crazy";"Co9";"  1.73448411"
"oct";"crazy";"Co9";"  0.97852779"
"nov";"crazy";"Co9";"  4.66726071"
"dec";"crazy";"Co9";"  9.64344658"
"jan";"month";"Co10";"  8.83318164"
"feb";"month";"Co10";"  6.49975431"
"mar";"month";"Co10";"  2.16635152"
"apr";"month";"Co10";"  0.98598499"
"may";"month";"Co10";" 56.05566793"
"jun";"month";"Co10";"  2.48942186"
"jul";"month";"Co10";" 25.08129517"
"aug";"month";"Co10";" 15.74694561"
"sep";"month";"Co10";"  5.45034991"
"oct";"month";"Co10";"  0.49757825"
"nov";"month";"Co10";"  3.49642179"
"dec";"month";"Co10";"  5.85784201"
"jan";"crazy";"Co10";"  4.74662546"
"feb";"crazy";"Co10";"  5.95952289"
"mar";"crazy";"Co10";" 19.64290107"
"apr";"crazy";"Co10";" 10.46666733"
"may";"crazy";"Co10";" 13.83775034"
"jun";"crazy";"Co10";"  2.80189400"
"jul";"crazy";"Co10";"  1.56460086"
"aug";"crazy";"Co10";"  8.79102854"
"sep";"crazy";"Co10";"  6.21296894"
"oct";"crazy";"Co10";"  8.54773201"
"nov";"crazy";"Co10";"  7.96185338"
"dec";"crazy";"Co10";"  0.25563817"
"jan";"month";"Sa4";" 53.02941144"
"feb";"month";"Sa4";" 57.55365074"
"mar";"month";"Sa4";" 52.54426652"
"apr";"month";"Sa4";" 55.32275550"
"may";"month";"Sa4";" 55.52300479"
"jun";"month";"Sa4";" 56.46516469"
"jul";"month";"Sa4";" 56.49078326"
"aug";"month";"Sa4";" 55.63115869"
"sep";"month";"Sa4";" 47.52184622"
"oct";"month";"Sa4";" 51.28529731"
"nov";"month";"Sa4";" 52.30507404"
"dec";"month";"Sa4";" 45.50910036"
"jan";"month";"Sa5";" 11.38962108"
"feb";"month";"Sa5";" 24.03899166"
"mar";"month";"Sa5";" 13.96679025"
"apr";"month";"Sa5";" 19.53117136"
"may";"month";"Sa5";" 21.74694937"
"jun";"month";"Sa5";" 15.63404929"
"jul";"month";"Sa5";" 21.02239326"
"aug";"month";"Sa5";" 30.25541185"
"sep";"month";"Sa5";" 25.33780373"
"oct";"month";"Sa5";" 20.53566291"
"nov";"month";"Sa5";" 18.17054013"
"dec";"month";"Sa5";" 18.62790682"
"jan";"month";"Sa6";" 13.41953123"
"feb";"month";"Sa6";"  4.13732472"
"mar";"month";"Sa6";"  1.87470037"
"apr";"month";"Sa6";"  2.87800107"
"may";"month";"Sa6";"  5.61464373"
"jun";"month";"Sa6";"  3.18166646"
"jul";"month";"Sa6";"  7.06637206"
"aug";"month";"Sa6";"  9.95724869"
"sep";"month";"Sa6";"  2.34131818"
"oct";"month";"Sa6";" 11.50624040"
"nov";"month";"Sa6";"  1.28239606"
"dec";"month";"Sa6";"  2.32052013"
"jan";"crazy";"Sa6";" 55.48600497"
"feb";"crazy";"Sa6";" 83.94789969"
"mar";"crazy";"Sa6";" 59.00772434"
"apr";"crazy";"Sa6";" 57.44297881"
"may";"crazy";"Sa6";" 86.61895216"
"jun";"crazy";"Sa6";" 68.15695780"
"jul";"crazy";"Sa6";" 83.08635278"
"aug";"crazy";"Sa6";" 52.44689853"
"sep";"crazy";"Sa6";" 48.59906968"
"oct";"crazy";"Sa6";" 49.82494209"
"nov";"crazy";"Sa6";" 63.97397693"
"dec";"crazy";"Sa6";" 58.58259753"
"jan";"month";"Sa7";" 59.68548350"
"feb";"month";"Sa7";" 58.72984371"
"mar";"month";"Sa7";" 63.95311042"
"apr";"month";"Sa7";" 61.56897555"
"may";"month";"Sa7";" 69.29366498"
"jun";"month";"Sa7";" 60.35502365"
"jul";"month";"Sa7";" 55.10072892"
"aug";"month";"Sa7";" 41.93084062"
"sep";"month";"Sa7";" 46.44294674"
"oct";"month";"Sa7";" 37.12533279"
"nov";"month";"Sa7";" 40.72656149"
"dec";"month";"Sa7";" 54.00779949"
"jan";"crazy";"Sa7";" 56.70176482"
"feb";"crazy";"Sa7";" 57.00319627"
"mar";"crazy";"Sa7";" 57.96865119"
"apr";"crazy";"Sa7";" 61.23749537"
"may";"crazy";"Sa7";" 53.51848155"
"jun";"crazy";"Sa7";" 53.50282123"
"jul";"crazy";"Sa7";" 53.69023351"
"aug";"crazy";"Sa7";" 58.44152911"
"sep";"crazy";"Sa7";" 59.05880071"
"oct";"crazy";"Sa7";" 53.79650017"
"nov";"crazy";"Sa7";" 55.81299096"
"dec";"crazy";"Sa7";" 54.85627041"
"jan";"month";"Sa9";"  1.72291071"
"feb";"month";"Sa9";"  3.53931053"
"mar";"month";"Sa9";"  1.00468238"
"apr";"month";"Sa9";"  0.60998470"
"may";"month";"Sa9";"  5.62266357"
"jun";"month";"Sa9";"  3.19204824"
"jul";"month";"Sa9";"  0.79635159"
"aug";"month";"Sa9";" 15.50163915"
"sep";"month";"Sa9";" 11.13264048"
"oct";"month";"Sa9";" 10.86576908"
"nov";"month";"Sa9";"  9.22804300"
"dec";"month";"Sa9";" 12.99937907"
"jan";"crazy";"Sa9";" 45.75685605"
"feb";"crazy";"Sa9";" 54.46949000"
"mar";"crazy";"Sa9";" 37.38947126"
"apr";"crazy";"Sa9";" 14.66195445"
"may";"crazy";"Sa9";" 28.49656961"
"jun";"crazy";"Sa9";" 37.34715709"
"jul";"crazy";"Sa9";" 33.18858619"
"aug";"crazy";"Sa9";" 44.49587605"
"sep";"crazy";"Sa9";" 30.00799381"
"oct";"crazy";"Sa9";" 37.91057323"
"nov";"crazy";"Sa9";" 44.77854737"
"dec";"crazy";"Sa9";" 34.55333320"
"jan";"month";"Sa11";"  5.43155544"
"feb";"month";"Sa11";"  8.82795110"
"mar";"month";"Sa11";"  2.45691695"
"apr";"month";"Sa11";"  5.12114503"
"may";"month";"Sa11";"  2.65052552"
"jun";"month";"Sa11";"  8.28399545"
"jul";"month";"Sa11";"  5.88810562"
"aug";"month";"Sa11";" 12.52157788"
"sep";"month";"Sa11";" 16.45319698"
"oct";"month";"Sa11";" 29.16263997"
"nov";"month";"Sa11";" 22.77897518"
"dec";"month";"Sa11";" 24.23111448"
"jan";"crazy";"Sa11";" 16.29764856"
"feb";"crazy";"Sa11";"  0.63718195"
"mar";"crazy";"Sa11";"  4.06646464"
"apr";"crazy";"Sa11";"  0.36240635"
"may";"crazy";"Sa11";" 18.07828796"
"jun";"crazy";"Sa11";" 11.73309409"
"jul";"crazy";"Sa11";" 18.64355752"
"aug";"crazy";"Sa11";"  3.72474024"
"sep";"crazy";"Sa11";"  1.32311973"
"oct";"crazy";"Sa11";"  3.38262822"
"nov";"crazy";"Sa11";"  8.98019728"
"dec";"crazy";"Sa11";" 10.77548415"
"jan";"month";"Sa14";"  4.87829702"
"feb";"month";"Sa14";"  7.50097721"
"mar";"month";"Sa14";" 79.51347262"
"apr";"month";"Sa14";" 24.62912435"
"may";"month";"Sa14";" 65.88524451"
"jun";"month";"Sa14";"  0.22844516"
"jul";"month";"Sa14";" 23.93225955"
"aug";"month";"Sa14";" 19.89114901"
"sep";"month";"Sa14";"  4.06352728"
"oct";"month";"Sa14";" 62.54320786"
"nov";"month";"Sa14";" 34.27814990"
"dec";"month";"Sa14";" 65.40356392"
"jan";"crazy";"Sa1";"  3.64816854"
"feb";"crazy";"Sa1";"  7.04314930"
"mar";"crazy";"Sa1";"  4.54908031"
"apr";"crazy";"Sa1";"  1.47674711"
"may";"crazy";"Sa1";"  5.11439427"
"jun";"crazy";"Sa1";"  7.09829164"
"jul";"crazy";"Sa1";"  9.64569873"
"aug";"crazy";"Sa1";"  5.83014198"
"sep";"crazy";"Sa1";"  1.46931788"
"oct";"crazy";"Sa1";"  6.35846417"
"nov";"crazy";"Sa1";"  6.75383822"
"dec";"crazy";"Sa1";" 12.73538199"
"jan";"crazy";"Sa13";" 74.83045593"
"feb";"crazy";"Sa13";" 72.30098241"
"mar";"crazy";"Sa13";" 71.82470105"
"apr";"crazy";"Sa13";" 66.88272422"
"may";"crazy";"Sa13";" 68.28679319"
"jun";"crazy";"Sa13";" 65.96008375"
"jul";"crazy";"Sa13";" 73.40761287"
"aug";"crazy";"Sa13";" 70.09470219"
"sep";"crazy";"Sa13";" 75.99805616"
"oct";"crazy";"Sa13";" 64.48012062"
"nov";"crazy";"Sa13";" 61.63264134"
"dec";"crazy";"Sa13";" 63.41651638"
"jan";"crazy";"Sa8";"  1.12639833"
"feb";"crazy";"Sa8";"  1.03416256"
"mar";"crazy";"Sa8";"  1.33562860"
"apr";"crazy";"Sa8";"  2.14289078"
"may";"crazy";"Sa8";"  3.20878813"
"jun";"crazy";"Sa8";"  1.08480535"
"jul";"crazy";"Sa8";"  5.03151231"
"aug";"crazy";"Sa8";"  3.02837781"
"sep";"crazy";"Sa8";"  2.31194587"
"oct";"crazy";"Sa8";"  7.47695932"
"nov";"crazy";"Sa8";"  5.37092047"
"dec";"crazy";"Sa8";"  3.39080125"
"jan";"month";"Sa20";"  0.26835529"
"feb";"month";"Sa20";"  2.66074193"
"mar";"month";"Sa20";"  3.21451674"
"apr";"month";"Sa20";"  2.80626585"
"may";"month";"Sa20";"  6.54241535"
"jun";"month";"Sa20";"  0.65248529"
