"m","z","X","y","outlier","condition","task","type","participant","rounds"
"sep",2027,31.682064,14.08083,0,"str","mini","control","Co9","both"
"feb",1723,-415.92645,122.68331,0,"str","mini","control","Co9","both"
"jun",2101,-291.89893,32.838596,0,"str","mini","control","Co9","both"
"nov",1768,33.77476,101.32403,0,"str","mini","control","Co9","both"
"apr",1969,-468.471,92.32637,0,"eyes","mini","control","Co9","both"
"jan",1673,-412.5729,171.42111,0,"eyes","mini","control","Co9","both"
"jul",2127,-166.22505,55.408295,0,"eyes","mini","control","Co9","both"
"may",2101,-423.25345,105.81332,0,"eyes","mini","control","Co9","both"
"aug",2114,-40.38446,40.384407,0,"eyes","mini","control","Co9","both"
"dec",1833,-35.016422,155.98218,0,"eyes","mini","control","Co9","both"
"feb",1715,-479.51965,169.7678,0,"eyes","mini","control","Co9","both"
"sep",2015,-20.996313,10.49809,0,"eyes","mini","control","Co9","both"
"jun",2063,-379.7708,96.734024,0,"eyes","mini","control","Co9","both"
"oct",1915,43.23429,76.491455,0,"eyes","mini","control","Co9","both"
"mar",1863,-452.9574,171.4767,0,"eyes","mini","control","Co9","both"
"nov",1795,-3.1173284,121.57532,0,"eyes","mini","control","Co9","both"
"jan",1925,-200.58499,498.11935,0,"tr","mini","control","Co10","both"
"may",1853,22.526327,202.73671,0,"tr","mini","control","Co10","both"
"mar",1904,211.6233,386.87372,0,"tr","mini","control","Co10","both"
"sep",1853,231.69914,-22.526327,0,"tr","mini","control","Co10","both"
"feb",1873,16.263884,458.64148,0,"tr","mini","control","Co10","both"
"oct",1814,-176.41756,-173.26729,0,"tr","mini","control","Co10","both"
"aug",1795,56.111675,65.46363,0,"tr","mini","control","Co10","both"
"nov",1833,41.383003,-155.98227,0,"tr","mini","control","Co10","both"
"jun",1853,222.04503,112.6315,0,"tr","mini","control","Co10","both"
"dec",1915,206.19446,-202.86876,0,"tr","mini","control","Co10","both"
"jul",1759,-192.45216,88.58906,0,"tr","mini","control","Co10","both"
"apr",1804,-156.64732,234.97095,0,"tr","mini","control","Co10","both"
"dec",1958,244.82834,-139.41614,0,"hd","mini","control","Co10","both"
"jul",1915,-152.98297,13.302806,0,"hd","mini","control","Co10","both"
"mar",1873,312.26663,341.54153,0,"hd","mini","control","Co10","both"
"aug",1824,53.850582,-47.515198,0,"hd","mini","control","Co10","both"
"apr",1873,-136.61658,81.31938,0,"hd","mini","control","Co10","both"
"feb",1843,76.816284,374.47913,0,"hd","mini","control","Co10","both"
"oct",1958,-159.81845,-248.2288,0,"hd","mini","control","Co10","both"
"jan",1873,-81.31941,406.59705,0,"hd","mini","control","Co10","both"
"nov",1883,62.13277,-264.88168,0,"hd","mini","control","Co10","both"
"may",1843,48.01015,188.83987,0,"hd","mini","control","Co10","both"
"sep",1873,266.7277,-87.82503,0,"hd","mini","control","Co10","both"
"jun",1833,267.39807,92.31595,0,"hd","mini","control","Co10","both"
"aug",1883,13.080623,26.161121,0,"str","mini","control","Co10","both"
"may",1904,3.306689,181.8637,0,"str","mini","control","Co10","both"
"dec",1925,277.4759,-210.61429,0,"str","mini","control","Co10","both"
"oct",2003,-226.10532,-198.27702,0,"str","mini","control","Co10","both"
"apr",1958,-163.21886,295.83417,0,"str","mini","control","Co10","both"
"jul",1894,-180.90857,-23.024752,0,"str","mini","control","Co10","both"
"mar",1904,284.3688,439.77957,0,"str","mini","control","Co10","both"
"jan",1925,-170.49725,404.51303,0,"str","mini","control","Co10","both"
"sep",1894,269.71826,-95.3882,0,"str","mini","control","Co10","both"
"feb",1904,19.839756,459.61923,0,"str","mini","control","Co10","both"
"jun",1833,238.74825,9.549875,0,"str","mini","control","Co10","both"
"nov",1904,39.679386,-241.38287,0,"str","mini","control","Co10","both"
"apr",1980,-171.93,230.38617,0,"eyes","mini","control","Co10","both"
"jan",1980,-154.737,436.70218,0,"eyes","mini","control","Co10","both"
"jul",1853,231.69914,80.45105,0,"eyes","mini","control","Co10","both"
"may",1883,42.511837,258.3413,0,"eyes","mini","control","Co10","both"
"aug",1833,47.74965,-41.383034,0,"eyes","mini","control","Co10","both"
"dec",1925,280.81903,-203.92813,0,"eyes","mini","control","Co10","both"
"feb",1904,33.06613,433.16635,0,"eyes","mini","control","Co10","both"
"sep",1925,354.3669,-43.46009,0,"eyes","mini","control","Co10","both"
"jun",1894,322.34613,180.90854,0,"eyes","mini","control","Co10","both"
"oct",1958,-190.42204,-234.62715,0,"eyes","mini","control","Co10","both"
"mar",1992,290.59302,487.781,0,"eyes","mini","control","Co10","both"
"nov",1915,46.56008,-256.08026,0,"eyes","mini","control","Co10","both"
"jan",1969,-205.1698,276.97922,0,"tr","mini","synaesthete","Sa6","both"
"may",1873,-195.1666,74.813835,0,"tr","mini","synaesthete","Sa6","both"
"mar",1925,-200.58499,177.1834,0,"tr","mini","synaesthete","Sa6","both"
"sep",1853,225.26303,170.55627,0,"tr","mini","synaesthete","Sa6","both"
"feb",1925,-227.32964,250.7312,0,"tr","mini","synaesthete","Sa6","both"
"oct",1894,217.09035,95.38811,0,"tr","mini","synaesthete","Sa6","both"
"aug",1894,177.61937,-3.2892904,0,"tr","mini","synaesthete","Sa6","both"
"nov",1947,121.72652,280.64703,0,"tr","mini","synaesthete","Sa6","both"
"jun",1863,-135.88718,-119.71019,0,"tr","mini","synaesthete","Sa6","both"
"dec",1894,0,384.84183,0,"tr","mini","synaesthete","Sa6","both"
"jul",1814,34.65352,-66.156654,0,"tr","mini","synaesthete","Sa6","both"
"apr",1915,-219.49731,182.91438,0,"tr","mini","synaesthete","Sa6","both"
"dec",1947,10.143844,375.32315,0,"hd","mini","synaesthete","Sa6","both"
"jul",1833,120.96575,-85.949425,0,"hd","mini","synaesthete","Sa6","both"
"mar",1969,-160.71631,188.07228,0,"hd","mini","synaesthete","Sa6","both"
"aug",1833,190.9986,-47.74965,0,"hd","mini","synaesthete","Sa6","both"
"apr",1947,-142.01414,165.6832,0,"hd","mini","synaesthete","Sa6","both"
"feb",1969,-143.61882,249.62321,0,"hd","mini","synaesthete","Sa6","both"
"oct",1958,234.62718,119.01375,0,"hd","mini","synaesthete","Sa6","both"
"jan",1992,-138.3776,321.7279,0,"hd","mini","synaesthete","Sa6","both"
"nov",1936,198.36906,265.61273,0,"hd","mini","synaesthete","Sa6","both"
"may",1958,-176.8204,-64.60756,0,"hd","mini","synaesthete","Sa6","both"
"sep",1894,177.61937,108.54508,0,"hd","mini","synaesthete","Sa6","both"
"jun",1883,-58.862553,-68.67308,0,"hd","mini","synaesthete","Sa6","both"
"aug",1843,265.65613,-35.207455,0,"str","mini","synaesthete","Sa6","both"
"may",1925,-127.03714,-3.343128,0,"str","mini","synaesthete","Sa6","both"
"dec",1958,27.20312,411.44754,0,"str","mini","synaesthete","Sa6","both"
"oct",1904,198.39679,168.63725,0,"str","mini","synaesthete","Sa6","both"
"apr",2039,-177.05316,187.67633,0,"str","mini","synaesthete","Sa6","both"
"jul",1873,26.022188,-165.89168,0,"str","mini","synaesthete","Sa6","both"
"mar",1992,-134.91815,231.78246,0,"str","mini","synaesthete","Sa6","both"
"jan",1980,-41.26316,354.17575,0,"str","mini","synaesthete","Sa6","both"
"sep",1936,235.35306,90.779,0,"str","mini","synaesthete","Sa6","both"
"feb",1992,-159.13425,266.37686,0,"str","mini","synaesthete","Sa6","both"
"jun",1915,-6.6513953,-123.05154,0,"str","mini","synaesthete","Sa6","both"
"nov",1980,226.94768,271.64938,0,"str","mini","synaesthete","Sa6","both"
"apr",1883,-137.34598,120.99528,0,"eyes","mini","synaesthete","Sa6","both"
"jan",1969,-102.5849,311.1742,0,"eyes","mini","synaesthete","Sa6","both"
"jul",1824,224.90535,-167.8871,0,"eyes","mini","synaesthete","Sa6","both"
"may",1833,-95.4993,-54.116356,0,"eyes","mini","synaesthete","Sa6","both"
"aug",1777,317.8638,-77.151474,0,"eyes","mini","synaesthete","Sa6","both"
"dec",1904,92.585144,360.42084,0,"eyes","mini","synaesthete","Sa6","both"
"feb",1915,-93.12004,262.7316,0,"eyes","mini","synaesthete","Sa6","both"
"sep",1833,296.0478,155.98218,0,"eyes","mini","synaesthete","Sa6","both"
"jun",1741,-48.3766,-154.20044,0,"eyes","mini","synaesthete","Sa6","both"
"oct",1863,317.07016,177.94751,0,"eyes","mini","synaesthete","Sa6","both"
"mar",1833,-63.6662,60.48283,0,"eyes","mini","synaesthete","Sa6","both"
"nov",1883,228.91003,310.6636,0,"eyes","mini","synaesthete","Sa6","both"
"jan",1634,14.188566,122.02164,0,"tr","mini","synaesthete","Sa7","both"
"may",1698,5.8977423,179.88042,0,"tr","mini","synaesthete","Sa7","both"
"mar",1690,5.8699555,143.81335,0,"tr","mini","synaesthete","Sa7","both"
"sep",1673,92.974205,165.61023,0,"tr","mini","synaesthete","Sa7","both"
"feb",1673,2.9055097,119.123146,0,"tr","mini","synaesthete","Sa7","both"
"oct",1657,106.47332,141.00516,0,"tr","mini","synaesthete","Sa7","both"
"aug",1673,95.87961,177.232,0,"tr","mini","synaesthete","Sa7","both"
"nov",1649,100.23171,111.686745,0,"tr","mini","synaesthete","Sa7","both"
"jun",1706,29.627533,180.7279,0,"tr","mini","synaesthete","Sa7","both"
"dec",1657,69.063805,89.20731,0,"tr","mini","synaesthete","Sa7","both"
"jul",1723,50.868725,188.51341,0,"tr","mini","synaesthete","Sa7","both"
"apr",1732,-3.0079181,153.40321,0,"tr","mini","synaesthete","Sa7","both"
"dec",1641,94.045685,-333.43484,0,"hd","mini","synaesthete","Sa7","both"
"jul",1525,47.67148,-124.475655,0,"hd","mini","synaesthete","Sa7","both"
"mar",1634,-136.21022,-178.77597,0,"hd","mini","synaesthete","Sa7","both"
"aug",1553,172.61081,-142.94334,0,"hd","mini","synaesthete","Sa7","both"
"apr",1626,-129.89572,-177.9007,0,"hd","mini","synaesthete","Sa7","both"
"oct",1626,271.0868,-194.8436,0,"hd","mini","synaesthete","Sa7","both"
"jan",1698,-129.74983,-291.93716,0,"hd","mini","synaesthete","Sa7","both"
"nov",1715,241.24911,-285.92487,0,"hd","mini","synaesthete","Sa7","both"
"may",1657,-195.68063,-152.51585,0,"hd","mini","synaesthete","Sa7","both"
"sep",1532,188.90076,-146.33159,0,"hd","mini","synaesthete","Sa7","both"
"jun",1553,-75.51719,-99.79062,0,"hd","mini","synaesthete","Sa7","both"
"aug",1641,99.745445,236.53918,0,"str","mini","synaesthete","Sa7","both"
"may",1657,-40.28718,221.57956,0,"str","mini","synaesthete","Sa7","both"
"dec",1589,60.710415,113.14207,0,"str","mini","synaesthete","Sa7","both"
"oct",1596,102.55366,169.07487,0,"str","mini","synaesthete","Sa7","both"
"apr",1657,-57.55313,198.55829,0,"str","mini","synaesthete","Sa7","both"
"jul",1673,31.959942,264.39532,0,"str","mini","synaesthete","Sa7","both"
"mar",1673,-55.20341,165.61023,0,"str","mini","synaesthete","Sa7","both"
"jan",1626,-5.647608,115.77659,0,"str","mini","synaesthete","Sa7","both"
"sep",1649,100.23171,209.05469,0,"str","mini","synaesthete","Sa7","both"
"feb",1641,-37.048286,139.64362,0,"str","mini","synaesthete","Sa7","both"
"jun",1690,14.674833,243.6022,0,"str","mini","synaesthete","Sa7","both"
"nov",1603,108.57123,125.27441,0,"str","mini","synaesthete","Sa7","both"
"apr",1665,-20.240816,147.46902,0,"eyes","mini","synaesthete","Sa7","both"
"jan",1634,-5.675394,104.99537,0,"eyes","mini","synaesthete","Sa7","both"
"jul",1690,38.154545,249.47214,0,"eyes","mini","synaesthete","Sa7","both"
"may",1698,0,209.36902,0,"eyes","mini","synaesthete","Sa7","both"
"aug",1657,143.88283,238.84547,0,"eyes","mini","synaesthete","Sa7","both"
"dec",1626,76.24316,70.595474,0,"eyes","mini","synaesthete","Sa7","both"
"feb",1665,8.674627,106.98733,0,"eyes","mini","synaesthete","Sa7","both"
"sep",1681,125.53145,236.46625,0,"eyes","mini","synaesthete","Sa7","both"
"jun",1723,35.90734,254.34349,0,"eyes","mini","synaesthete","Sa7","both"
"oct",1698,159.23848,173.9827,0,"eyes","mini","synaesthete","Sa7","both"
"mar",1723,17.953728,158.59064,0,"eyes","mini","synaesthete","Sa7","both"
"nov",1649,114.55053,71.594055,0,"eyes","mini","synaesthete","Sa7","both"
"jan",1915,123.05154,322.59448,0,"tr","mini","synaesthete","Sa9","both"
"may",1894,269.71826,95.38811,0,"tr","mini","synaesthete","Sa9","both"
"mar",1883,245.26074,199.47868,0,"tr","mini","synaesthete","Sa9","both"
"sep",1833,-82.76607,9.549875,0,"tr","mini","synaesthete","Sa9","both"
"feb",1833,178.26543,283.31454,0,"tr","mini","synaesthete","Sa9","both"
"oct",1863,-135.88718,132.65178,0,"tr","mini","synaesthete","Sa9","both"
"aug",1843,-102.421616,-35.207455,0,"tr","mini","synaesthete","Sa9","both"
"nov",1873,-91.07772,237.45265,0,"tr","mini","synaesthete","Sa9","both"
"jun",1804,56.393017,-59.526062,0,"tr","mini","synaesthete","Sa9","both"
"dec",1873,-52.044437,289.49707,0,"tr","mini","synaesthete","Sa9","both"
"jul",1804,6.2659173,-84.589615,0,"tr","mini","synaesthete","Sa9","both"
"apr",1777,129.6144,-21.602419,0,"tr","mini","synaesthete","Sa9","both"
"dec",1690,-73.37417,-79.24415,0,"hd","mini","synaesthete","Sa9","both"
"jul",1936,23.535332,-218.54216,0,"hd","mini","synaesthete","Sa9","both"
"mar",1853,119.06763,-189.86461,0,"hd","mini","synaesthete","Sa9","both"
"aug",1915,-69.840065,-202.86876,0,"hd","mini","synaesthete","Sa9","both"
"apr",1843,124.82644,-214.44536,0,"hd","mini","synaesthete","Sa9","both"
"feb",1681,140.12813,-90.49947,0,"hd","mini","synaesthete","Sa9","both"
"oct",1843,-144.03044,-112.02371,0,"hd","mini","synaesthete","Sa9","both"
"jan",1681,29.193367,20.435337,0,"hd","mini","synaesthete","Sa9","both"
"nov",1795,-99.7541,-34.290493,0,"hd","mini","synaesthete","Sa9","both"
"may",1824,114.03655,-186.89316,0,"hd","mini","synaesthete","Sa9","both"
"sep",1894,-85.520424,-180.90863,0,"hd","mini","synaesthete","Sa9","both"
"jun",1894,69.07426,-213.80106,0,"hd","mini","synaesthete","Sa9","both"
"aug",1969,-61.55091,-23.936502,0,"str","mini","synaesthete","Sa9","both"
"may",1883,183.1281,22.890982,0,"str","mini","synaesthete","Sa9","both"
"dec",1936,-73.96806,208.45552,0,"str","mini","synaesthete","Sa9","both"
"oct",1958,-142.81648,44.20507,0,"str","mini","synaesthete","Sa9","both"
"apr",1873,175.65,-16.263914,0,"str","mini","synaesthete","Sa9","both"
"jul",1915,-3.3257294,-109.74869,0,"str","mini","synaesthete","Sa9","both"
"mar",1863,220.00786,80.885216,0,"str","mini","synaesthete","Sa9","both"
"jan",1873,6.505578,250.46379,0,"str","mini","synaesthete","Sa9","both"
"sep",1925,-110.321724,-90.263306,0,"str","mini","synaesthete","Sa9","both"
"feb",1824,259.7498,186.89308,0,"str","mini","synaesthete","Sa9","both"
"jun",1853,28.962439,-125.50371,0,"str","mini","synaesthete","Sa9","both"
"nov",1925,-86.92018,197.24187,0,"str","mini","synaesthete","Sa9","both"
"apr",2101,-43.784798,-51.082367,0,"eyes","mini","synaesthete","Sa9","both"
"jan",1915,-106.42289,312.61734,0,"eyes","mini","synaesthete","Sa9","both"
"jul",1894,-111.83437,-101.96669,0,"eyes","mini","synaesthete","Sa9","both"
"may",1804,-62.65893,-100.25437,0,"eyes","mini","synaesthete","Sa9","both"
"aug",1958,-204.02359,-85.009895,0,"eyes","mini","synaesthete","Sa9","both"
"dec",2039,-212.46379,244.33333,0,"eyes","mini","synaesthete","Sa9","both"
"feb",1804,-59.525974,303.8958,0,"eyes","mini","synaesthete","Sa9","both"
"sep",1958,-176.8204,-71.40833,0,"eyes","mini","synaesthete","Sa9","both"
"jun",1814,-66.15659,-103.96037,0,"eyes","mini","synaesthete","Sa9","both"
"oct",1992,-221.40414,86.48596,0,"eyes","mini","synaesthete","Sa9","both"
"mar",1715,-2.9783947,92.329834,0,"eyes","mini","synaesthete","Sa9","both"
"nov",1969,-218.84776,194.91127,0,"eyes","mini","synaesthete","Sa9","both"
"jan",1904,105.81165,400.10016,0,"tr","mini","synaesthete","Sa11","both"
"may",1795,286.79315,109.106064,0,"tr","mini","synaesthete","Sa11","both"
"mar",1853,205.95482,299.278,0,"tr","mini","synaesthete","Sa11","both"
"sep",1904,-128.9579,102.50496,0,"tr","mini","synaesthete","Sa11","both"
"feb",1873,117.10003,315.51932,0,"tr","mini","synaesthete","Sa11","both"
"oct",1894,-134.85913,134.85907,0,"tr","mini","synaesthete","Sa11","both"
"aug",1894,-134.85913,16.44617,0,"tr","mini","synaesthete","Sa11","both"
"nov",1883,-127.535576,186.39813,0,"tr","mini","synaesthete","Sa11","both"
"jun",1843,176.03722,-60.812935,0,"tr","mini","synaesthete","Sa11","both"
"dec",1873,-91.07772,243.9582,0,"tr","mini","synaesthete","Sa11","both"
"jul",1863,48.53115,-132.65182,0,"tr","mini","synaesthete","Sa11","both"
"apr",1824,218.56996,136.2102,0,"tr","mini","synaesthete","Sa11","both"
"dec",1715,8.935127,145.94077,0,"hd","mini","synaesthete","Sa11","both"
"jul",1843,131.22781,-176.03728,0,"hd","mini","synaesthete","Sa11","both"
"mar",1690,170.22804,208.3826,0,"hd","mini","synaesthete","Sa11","both"
"aug",1915,-89.79431,-136.3544,0,"hd","mini","synaesthete","Sa11","both"
"apr",1824,253.4144,66.52126,0,"hd","mini","synaesthete","Sa11","both"
"feb",1777,157.38896,175.9052,0,"hd","mini","synaesthete","Sa11","both"
"oct",1925,-103.6356,23.40156,0,"hd","mini","synaesthete","Sa11","both"
"jan",1804,125.31786,228.70506,0,"hd","mini","synaesthete","Sa11","both"
"nov",1883,-111.18486,88.29383,0,"hd","mini","synaesthete","Sa11","both"
"may",1915,256.0802,-3.325761,0,"hd","mini","synaesthete","Sa11","both"
"sep",2015,-94.48331,-24.49571,0,"hd","mini","synaesthete","Sa11","both"
"jun",1992,183.3503,-100.323814,0,"hd","mini","synaesthete","Sa11","both"
"aug",2039,-60.198036,-31.869589,0,"str","mini","synaesthete","Sa11","both"
"may",1936,289.14813,63.881485,0,"str","mini","synaesthete","Sa11","both"
"dec",1925,-13.37232,307.56366,0,"str","mini","synaesthete","Sa11","both"
"oct",1969,-78.6484,106.00434,0,"str","mini","synaesthete","Sa11","both"
"apr",1883,235.45035,163.50714,0,"str","mini","synaesthete","Sa11","both"
"jul",1936,84.054665,-131.12529,0,"str","mini","synaesthete","Sa11","both"
"mar",1863,220.00786,245.89111,0,"str","mini","synaesthete","Sa11","both"
"jan",1883,91.56399,281.2323,0,"str","mini","synaesthete","Sa11","both"
"sep",1969,-68.38993,17.097418,0,"str","mini","synaesthete","Sa11","both"
"feb",1894,151.30542,266.42896,0,"str","mini","synaesthete","Sa11","both"
"jun",1915,186.2402,-96.44583,0,"str","mini","synaesthete","Sa11","both"
"nov",1958,-102.011795,180.22081,0,"str","mini","synaesthete","Sa11","both"
"apr",1894,296.0322,9.867683,0,"eyes","mini","synaesthete","Sa11","both"
"jan",1873,120.35276,315.51932,0,"eyes","mini","synaesthete","Sa11","both"
"jul",1843,195.24135,-73.61563,0,"eyes","mini","synaesthete","Sa11","both"
"may",1824,237.57599,72.85661,0,"eyes","mini","synaesthete","Sa11","both"
"aug",1947,-67.6258,-30.43163,0,"eyes","mini","synaesthete","Sa11","both"
"dec",1873,6.505578,302.5082,0,"eyes","mini","synaesthete","Sa11","both"
"feb",1824,174.2224,288.25888,0,"eyes","mini","synaesthete","Sa11","both"
"sep",1969,-82.06791,37.614426,0,"eyes","mini","synaesthete","Sa11","both"
"jun",1814,204.77037,-116.561615,0,"eyes","mini","synaesthete","Sa11","both"
"oct",1958,-112.21295,51.00585,0,"eyes","mini","synaesthete","Sa11","both"
"mar",1863,187.65375,281.48062,0,"eyes","mini","synaesthete","Sa11","both"
"nov",1958,-95.21098,180.22081,0,"eyes","mini","synaesthete","Sa11","both"
"jan",1824,313.60037,186.89308,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"may",1706,-527.37006,79.9943,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"mar",1486,46.45234,152.26048,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"sep",2003,41.742546,-260.89084,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"feb",1698,253.60202,165.13612,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"oct",2003,69.57086,-253.93376,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"aug",2003,66.09238,-260.89084,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"nov",2589,359.6984,-85.42848,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"dec",2039,453.25607,138.10144,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"jul",2063,75.23769,-268.70584,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"apr",1499,-447.7613,111.94029,0,"tr","mini","synaesthete","Sa1","crazyOnly"
"dec",1657,178.41473,181.29236,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"jul",2003,31.306942,-246.97658,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"mar",1698,-359.7609,138.59637,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"aug",1969,-34.194965,-263.30133,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"apr",2181,-655.26685,-18.938385,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"feb",1626,-208.96266,98.83369,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"oct",1992,-6.9188404,-252.53922,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"jan",1618,-101.15737,126.446655,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"nov",2101,675.0163,47.43353,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"sep",1980,-3.438613,-251.0179,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"jun",1980,-3.438613,-251.0179,0,"hd","mini","synaesthete","Sa1","crazyOnly"
"aug",1936,6.724399,-285.78592,0,"str","mini","synaesthete","Sa1","crazyOnly"
"oct",1992,34.5944,-252.53922,0,"str","mini","synaesthete","Sa1","crazyOnly"
"apr",2281,-633.81384,0,0,"str","mini","synaesthete","Sa1","crazyOnly"
"jul",1992,10.378293,-252.53922,0,"str","mini","synaesthete","Sa1","crazyOnly"
"mar",1786,-452.84625,71.33877,0,"str","mini","synaesthete","Sa1","crazyOnly"
"jan",1641,-119.6945,133.94385,0,"str","mini","synaesthete","Sa1","crazyOnly"
"sep",2015,-6.9987264,-234.45871,0,"str","mini","synaesthete","Sa1","crazyOnly"
"feb",1657,-189.92535,146.76047,0,"str","mini","synaesthete","Sa1","crazyOnly"
"jun",2015,-17.496916,-227.45995,0,"str","mini","synaesthete","Sa1","crazyOnly"
"nov",2140,687.5463,48.31402,0,"str","mini","synaesthete","Sa1","crazyOnly"
"apr",2127,-639.0429,-25.857258,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"jan",1626,-31.06203,104.481316,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"jul",2003,3.478623,-240.0195,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"may",2496,-546.17474,-186.39296,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"aug",2003,13.914227,-246.97658,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"feb",1723,-89.768295,128.66786,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"sep",2015,10.498123,-227.45995,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"jun",2015,10.498123,-227.45995,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"oct",1992,10.378293,-245.62025,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"mar",1786,-446.64285,108.55901,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"nov",2051,644.7046,-10.685751,0,"eyes","mini","synaesthete","Sa1","crazyOnly"
"jan",1750,-39.509144,240.09415,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"may",1539,-56.12734,200.45471,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"mar",1673,-5.8108535,159.79935,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"sep",1863,-45.295727,-255.59747,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"feb",1657,14.388283,273.37735,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"aug",1581,-90.607086,-227.89067,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"jun",1589,-68.98908,41.39341,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"dec",1804,9.398816,203.64151,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"jul",1512,-73.5235,97.15606,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"apr",1681,72.98341,195.59554,0,"tr","mini","synaesthete","Sa13","crazyOnly"
"dec",1824,19.006151,60.18586,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"jul",1512,-2.62585,-23.632574,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"mar",1634,59.592045,144.72336,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"aug",1698,-17.69317,-368.6075,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"apr",1611,50.359837,148.28178,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"feb",1706,50.36683,115.547356,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"jan",1690,52.829376,132.07346,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"may",1574,87.47244,161.27725,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"jun",1589,55.191265,140.73772,0,"hd","mini","synaesthete","Sa13","crazyOnly"
"aug",1634,0,-229.85484,0,"str","mini","synaesthete","Sa13","crazyOnly"
"may",1611,50.359837,243.40596,0,"str","mini","synaesthete","Sa13","crazyOnly"
"dec",1980,20.631678,196.00015,0,"str","mini","synaesthete","Sa13","crazyOnly"
"apr",1741,69.54132,257.00058,0,"str","mini","synaesthete","Sa13","crazyOnly"
"jul",1512,-42.01345,86.65267,0,"str","mini","synaesthete","Sa13","crazyOnly"
"mar",1723,77.79926,230.40529,0,"str","mini","synaesthete","Sa13","crazyOnly"
"jan",1814,72.457184,217.37158,0,"str","mini","synaesthete","Sa13","crazyOnly"
"sep",1883,-26.161121,-336.82486,0,"str","mini","synaesthete","Sa13","crazyOnly"
"feb",1768,82.90154,254.84538,0,"str","mini","synaesthete","Sa13","crazyOnly"
"jun",1546,-8.05464,99.34079,0,"str","mini","synaesthete","Sa13","crazyOnly"
"apr",1732,75.19766,285.7511,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"jan",1777,43.204838,311.69168,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"jul",1589,13.797816,124.180305,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"may",1698,38.335155,291.9371,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"aug",1611,30.775534,-204.23729,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"dec",1894,19.735556,180.90854,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"feb",1723,44.884148,278.2817,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"sep",1759,27.493216,-363.52084,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"jun",1626,53.652622,223.08177,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"mar",1777,40.118713,274.659,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"nov",1992,-6.9188404,-280.21472,0,"eyes","mini","synaesthete","Sa13","crazyOnly"
"jan",1715,122.113785,205.50842,0,"tr","mini","synaesthete","Sa8","crazyOnly"
"may",1777,126.52839,330.20804,0,"tr","mini","synaesthete","Sa8","crazyOnly"
