"m","z","X","y","outlier","condition","task","type","participant","rounds"
"apr",1843,-185.63922,246.45209,0,"eyes","mini","control","Co2","both"
"jul",1843,-233.64937,73.61554,0,"eyes","mini","control","Co2","both"
"may",1863,-200.59538,216.77245,0,"eyes","mini","control","Co2","both"
"aug",1915,-282.6859,43.234276,0,"eyes","mini","control","Co2","both"
"dec",2015,-314.9445,227.4599,0,"eyes","mini","control","Co2","both"
"feb",1980,-226.9476,326.667,0,"eyes","mini","control","Co2","both"
"sep",1904,-324.04807,-23.146318,0,"eyes","mini","control","Co2","both"
"jun",1804,-200.50858,72.05775,0,"eyes","mini","control","Co2","both"
"oct",1947,-358.41675,57.481873,0,"eyes","mini","control","Co2","both"
"mar",1843,-153.63245,272.0575,0,"eyes","mini","control","Co2","both"
"jan",1715,-363.36273,229.33551,0,"tr","mini","control","Co3","both"
"may",1402,-277.56793,275.13312,0,"tr","mini","control","Co3","both"
"mar",1461,-370.44144,276.5624,0,"tr","mini","control","Co3","both"
"sep",1560,-5.418369,251.95558,0,"tr","mini","control","Co3","both"
"feb",1581,-400.86783,238.87326,0,"tr","mini","control","Co3","both"
"aug",1437,-7.4867506,242.0722,0,"tr","mini","control","Co3","both"
"nov",1626,33.88586,223.08177,0,"tr","mini","control","Co3","both"
"jun",1473,-240.46233,263.4853,0,"tr","mini","control","Co3","both"
"dec",1863,-12.9416275,203.83081,0,"tr","mini","control","Co3","both"
"jul",1449,-181.18292,274.29086,0,"tr","mini","control","Co3","both"
"apr",1480,-359.83734,259.5969,0,"tr","mini","control","Co3","both"
"dec",1936,13.448798,131.12524,0,"hd","mini","control","Co3","both"
"jul",1665,-112.77044,-135.90292,0,"hd","mini","control","Co3","both"
"mar",1732,-324.85388,-45.1186,0,"hd","mini","control","Co3","both"
"aug",1665,34.69862,-135.90292,0,"hd","mini","control","Co3","both"
"apr",1673,-249.86813,-119.123184,0,"hd","mini","control","Co3","both"
"feb",1853,-321.80432,28.962362,0,"hd","mini","control","Co3","both"
"oct",1824,6.335384,-34.84449,0,"hd","mini","control","Co3","both"
"jan",1958,-343.43973,85.009796,0,"hd","mini","control","Co3","both"
"nov",1863,25.883255,22.647848,0,"hd","mini","control","Co3","both"
"may",1706,-266.6478,-109.621895,0,"hd","mini","control","Co3","both"
"sep",1786,37.220264,-77.54222,0,"hd","mini","control","Co3","both"
"jun",1673,-168.51569,-159.79944,0,"hd","mini","control","Co3","both"
"aug",1596,-2.7717304,274.40024,0,"str","mini","control","Co3","both"
"may",1618,-295.0423,266.94302,0,"str","mini","control","Co3","both"
"dec",2051,85.48573,210.15225,0,"str","mini","control","Co3","both"
"oct",1843,134.42844,195.24123,0,"str","mini","control","Co3","both"
"apr",1665,-323.85355,205.30002,0,"str","mini","control","Co3","both"
"jul",1634,-73.780556,246.88103,0,"str","mini","control","Co3","both"
"sep",1750,79.0184,221.85913,0,"str","mini","control","Co3","both"
"jun",1589,-154.53555,251.12025,0,"str","mini","control","Co3","both"
"jul",1657,-92.08498,233.09016,0,"eyes","mini","control","Co3","both"
"dec",1925,120.351074,250.7312,0,"eyes","mini","control","Co3","both"
"feb",1883,-300.85315,232.18015,0,"eyes","mini","control","Co3","both"
"sep",1777,117.27013,237.62636,0,"eyes","mini","control","Co3","both"
"jun",1657,-126.61688,238.84547,0,"eyes","mini","control","Co3","both"
"oct",1833,133.69904,232.38159,0,"eyes","mini","control","Co3","both"
"mar",1750,-267.44662,264.40747,0,"eyes","mini","control","Co3","both"
"nov",1894,138.14838,240.11496,0,"eyes","mini","control","Co3","both"
"jan",1649,-171.82579,163.23448,0,"tr","mini","control","Co4","both"
"may",1804,-313.29465,103.387184,0,"tr","mini","control","Co4","both"
"mar",1706,-275.53604,127.39835,0,"tr","mini","control","Co4","both"
"feb",1649,-317.87775,160.37071,0,"tr","mini","control","Co4","both"
"aug",1969,-109.42385,-30.77549,0,"tr","mini","control","Co4","both"
"jun",1894,-305.8999,16.44617,0,"tr","mini","control","Co4","both"
"dec",1715,-14.891916,229.33551,0,"tr","mini","control","Co4","both"
"jul",1925,-200.58499,-63.518665,0,"tr","mini","control","Co4","both"
"apr",1795,-370.96066,52.99433,0,"tr","mini","control","Co4","both"
"dec",1581,-8.236989,-57.65913,0,"hd","mini","control","Co4","both"
"jul",1958,-224.42596,-193.82248,0,"hd","mini","control","Co4","both"
"mar",1843,-361.67642,-124.82641,0,"hd","mini","control","Co4","both"
"aug",1992,-93.40484,-169.51265,0,"hd","mini","control","Co4","both"
"apr",1883,-369.52615,-140.61617,0,"hd","mini","control","Co4","both"
"feb",1732,-369.9725,-117.30837,0,"hd","mini","control","Co4","both"
"jan",1618,-250.08347,-14.04966,0,"hd","mini","control","Co4","both"
"may",1936,-379.92706,-137.84967,0,"hd","mini","control","Co4","both"
"jun",1992,-262.91745,-127.999306,0,"hd","mini","control","Co4","both"
