"m";"task";"participant";"angularShift"
"aug";"month";"Co6";" 40.16627911"
"sep";"month";"Co6";" 26.51025977"
"oct";"month";"Co6";" 25.44094950"
"nov";"month";"Co6";" 26.16620486"
"dec";"month";"Co6";"  8.28604493"
"jan";"crazy";"Co6";"  8.42397470"
"feb";"crazy";"Co6";" 18.86544586"
"mar";"crazy";"Co6";" 25.36552057"
"apr";"crazy";"Co6";" 40.90919221"
"may";"crazy";"Co6";" 10.32991943"
"jun";"crazy";"Co6";"  2.26376736"
"jul";"crazy";"Co6";"  1.15150344"
"aug";"crazy";"Co6";" 12.60031596"
"sep";"crazy";"Co6";"  7.40464512"
"oct";"crazy";"Co6";"  0.61588905"
"nov";"crazy";"Co6";"  2.79583533"
"dec";"crazy";"Co6";" 14.58466278"
"jan";"month";"Co7";" 20.39119255"
"feb";"month";"Co7";" 23.08475415"
"mar";"month";"Co7";" 23.89489867"
"apr";"month";"Co7";" 28.46096220"
"may";"month";"Co7";" 15.31702102"
"jun";"month";"Co7";" 22.57826022"
"jul";"month";"Co7";" 11.75738153"
"aug";"month";"Co7";"  3.15653046"
"sep";"month";"Co7";"  3.21749618"
"oct";"month";"Co7";"  1.86553021"
"nov";"month";"Co7";"  0.82239240"
"dec";"month";"Co7";"  4.37506057"
"jan";"crazy";"Co7";"  4.61873047"
"feb";"crazy";"Co7";"  3.96221204"
"mar";"crazy";"Co7";"  0.77591057"
"apr";"crazy";"Co7";" 13.26917195"
"may";"crazy";"Co7";" 23.35438038"
"jun";"crazy";"Co7";" 14.03937390"
"jul";"crazy";"Co7";" 19.42676971"
"aug";"crazy";"Co7";"  1.03621583"
"sep";"crazy";"Co7";"  3.04576442"
"oct";"crazy";"Co7";"  0.23549008"
"nov";"crazy";"Co7";" 12.98695408"
"dec";"crazy";"Co7";" 13.01153255"
"jan";"month";"Co8";"  0.21806961"
"feb";"month";"Co8";"  6.77552726"
"mar";"month";"Co8";"  7.05688140"
"apr";"month";"Co8";"  4.50666441"
"may";"month";"Co8";"  5.81312212"
"jun";"month";"Co8";"  5.09577867"
"jul";"month";"Co8";"  5.48844256"
"aug";"month";"Co8";"  6.57843623"
"sep";"month";"Co8";"  6.05508056"
"oct";"month";"Co8";"  2.54931640"
"nov";"month";"Co8";"  1.67078494"
"dec";"month";"Co8";"  1.64814645"
"jan";"crazy";"Co8";"  6.36182392"
"feb";"crazy";"Co8";"  3.36346698"
"mar";"crazy";"Co8";"  1.12133136"
"apr";"crazy";"Co8";"  1.31694140"
"may";"crazy";"Co8";"  1.44259329"
"jun";"crazy";"Co8";"  1.48695254"
"jul";"crazy";"Co8";"  0.91899206"
"aug";"crazy";"Co8";"  2.06976476"
"sep";"crazy";"Co8";"  0.02504392"
"oct";"crazy";"Co8";"  0.14284374"
"nov";"crazy";"Co8";"  0.13075372"
"dec";"crazy";"Co8";"  0.11112655"
"jan";"month";"Co9";"  1.77799247"
"feb";"month";"Co9";"  1.83856612"
"mar";"month";"Co9";"  3.40000506"
"apr";"month";"Co9";"  6.20829065"
"may";"month";"Co9";"  8.97473283"
"jun";"month";"Co9";" 14.94703058"
"jul";"month";"Co9";"  7.35247674"
"aug";"month";"Co9";" 16.33732596"
"sep";"month";"Co9";" 13.90796403"
"oct";"month";"Co9";" 16.39503675"
"nov";"month";"Co9";"  6.46383811"
"dec";"month";"Co9";"  4.38743560"
"jan";"crazy";"Co9";" 15.58063633"
"feb";"crazy";"Co9";" 14.96040122"
"mar";"crazy";"Co9";"  6.76099158"
"apr";"crazy";"Co9";" 12.56895925"
"may";"crazy";"Co9";"  7.30459146"
"jun";"crazy";"Co9";"  0.41672156"
"jul";"crazy";"Co9";"  4.23112333"
"aug";"crazy";"Co9";"  9.66908034"
"sep";"crazy";"Co9";" 12.88355357"
"oct";"crazy";"Co9";"  8.96137654"
"nov";"crazy";"Co9";" 10.15358499"
"dec";"crazy";"Co9";"  6.59469220"
"jan";"month";"Co10";" 33.92340114"
"feb";"month";"Co10";" 29.07590985"
"mar";"month";"Co10";" 42.83513680"
"apr";"month";"Co10";" 42.18821250"
"may";"month";"Co10";" 56.61834698"
"jun";"month";"Co10";" 17.52862385"
"jul";"month";"Co10";" 17.09199953"
"aug";"month";"Co10";" 26.53460320"
"sep";"month";"Co10";" 38.79488612"
"oct";"month";"Co10";" 40.26993323"
"nov";"month";"Co10";" 20.07185402"
"dec";"month";"Co10";" 37.91231201"
"jan";"crazy";"Co10";" 12.16262262"
"feb";"crazy";"Co10";" 33.33239684"
"mar";"crazy";"Co10";" 48.84756224"
"apr";"crazy";"Co10";" 32.08357387"
"may";"crazy";"Co10";" 28.43228002"
"jun";"crazy";"Co10";" 26.33275368"
"jul";"crazy";"Co10";" 24.18683817"
"aug";"crazy";"Co10";" 25.84774627"
"sep";"crazy";"Co10";" 55.66230423"
"oct";"crazy";"Co10";" 53.23804025"
"nov";"crazy";"Co10";" 29.42725156"
"dec";"crazy";"Co10";" 22.62710488"
"jan";"month";"Sa4";"  6.12200169"
"feb";"month";"Sa4";"  5.88316976"
"mar";"month";"Sa4";"  8.62921940"
"apr";"month";"Sa4";"  8.46666161"
"may";"month";"Sa4";"  8.28982874"
"jun";"month";"Sa4";"  7.41849949"
"jul";"month";"Sa4";"  7.88584065"
"aug";"month";"Sa4";"  2.18670496"
"sep";"month";"Sa4";"  1.97957388"
"oct";"month";"Sa4";"  2.56902086"
"nov";"month";"Sa4";"  2.54689077"
"dec";"month";"Sa4";"  8.01303959"
"jan";"month";"Sa5";" 11.08779130"
"feb";"month";"Sa5";" 13.00045001"
"mar";"month";"Sa5";" 17.38131486"
"apr";"month";"Sa5";" 23.95660611"
"may";"month";"Sa5";" 17.20968088"
"jun";"month";"Sa5";" 13.55949428"
"jul";"month";"Sa5";" 19.39699498"
"aug";"month";"Sa5";" 16.62902344"
"sep";"month";"Sa5";" 11.21084669"
"oct";"month";"Sa5";" 14.75516043"
"nov";"month";"Sa5";" 12.18187591"
"dec";"month";"Sa5";" 17.83841784"
"jan";"month";"Sa6";" 48.25804565"
"feb";"month";"Sa6";" 41.70009788"
"mar";"month";"Sa6";" 41.10346656"
"apr";"month";"Sa6";" 36.39275782"
"may";"month";"Sa6";" 44.35689177"
"jun";"month";"Sa6";" 38.38493542"
"jul";"month";"Sa6";" 41.85405784"
"aug";"month";"Sa6";" 45.20765916"
"sep";"month";"Sa6";" 59.77604462"
"oct";"month";"Sa6";" 49.03055674"
"nov";"month";"Sa6";" 41.30386675"
"dec";"month";"Sa6";" 41.05111757"
"jan";"crazy";"Sa6";" 21.83490220"
"feb";"crazy";"Sa6";" 19.85212658"
"mar";"crazy";"Sa6";" 15.19524080"
"apr";"crazy";"Sa6";" 11.26984311"
"may";"crazy";"Sa6";" 11.91311345"
"jun";"crazy";"Sa6";" 14.67528967"
"jul";"crazy";"Sa6";"  7.94462150"
"aug";"crazy";"Sa6";"  8.62736077"
"sep";"crazy";"Sa6";"  2.53070753"
"oct";"crazy";"Sa6";"  3.23040729"
"nov";"crazy";"Sa6";"  1.22938758"
"dec";"crazy";"Sa6";"  9.34835288"
"jan";"month";"Sa7";"  2.58383627"
"feb";"month";"Sa7";"  1.58830705"
"mar";"month";"Sa7";"  4.64367705"
"apr";"month";"Sa7";"  1.48552232"
"may";"month";"Sa7";"  8.86145351"
"jun";"month";"Sa7";"  0.24850400"
"jul";"month";"Sa7";"  3.65393209"
"aug";"month";"Sa7";"  6.67854065"
"sep";"month";"Sa7";"  7.74760106"
"oct";"month";"Sa7";"  3.78945427"
"nov";"month";"Sa7";"  3.82166608"
"dec";"month";"Sa7";"  1.44019110"
"jan";"crazy";"Sa7";"  0.20695105"
"feb";"crazy";"Sa7";"  1.00946334"
"mar";"crazy";"Sa7";"  1.99178783"
"apr";"crazy";"Sa7";"  1.19383081"
"may";"crazy";"Sa7";"  1.53834193"
"jun";"crazy";"Sa7";"  6.82686780"
"jul";"crazy";"Sa7";"  2.08815425"
"aug";"crazy";"Sa7";"  1.50813729"
"sep";"crazy";"Sa7";"  1.02256030"
"oct";"crazy";"Sa7";"  0.08438832"
"nov";"crazy";"Sa7";"  0.29026340"
"dec";"crazy";"Sa7";"  7.75458320"
"jan";"month";"Sa9";"  1.55337534"
"feb";"month";"Sa9";"  3.23105937"
"mar";"month";"Sa9";"  1.31908243"
"apr";"month";"Sa9";"  1.98142521"
"may";"month";"Sa9";"  0.49958098"
"jun";"month";"Sa9";"  2.21513269"
"jul";"month";"Sa9";"  2.79683893"
"aug";"month";"Sa9";" 14.86934299"
"sep";"month";"Sa9";" 12.87164606"
"oct";"month";"Sa9";" 12.92953982"
"nov";"month";"Sa9";" 10.70721113"
"dec";"month";"Sa9";"  7.80613434"
"jan";"crazy";"Sa9";" 27.17144104"
"feb";"crazy";"Sa9";" 21.48679323"
"mar";"crazy";"Sa9";"  7.43158789"
"apr";"crazy";"Sa9";" 20.50710258"
"may";"crazy";"Sa9";" 11.37863570"
"jun";"crazy";"Sa9";" 22.72319324"
"jul";"crazy";"Sa9";"  2.91819585"
"aug";"crazy";"Sa9";" 18.64049577"
"sep";"crazy";"Sa9";" 22.73790796"
"oct";"crazy";"Sa9";" 21.33978585"
"nov";"crazy";"Sa9";" 10.71612926"
"dec";"crazy";"Sa9";"  9.63577182"
"jan";"month";"Sa11";" 26.48664556"
"feb";"month";"Sa11";" 35.46753097"
"mar";"month";"Sa11";" 31.18107665"
"apr";"month";"Sa11";" 47.39047536"
