participant;m;type;rounds;condition;z.mini;x.mini;y.mini;z.month;x.month;y.month;dist
Co5;jan;control;both;str;1665;-141.68594;231.32397;1734.5;-160.4180475;225.450125;72.2194150244626
Co5;jul;control;both;str;1626;-152.48627;152.48625;1708.75;-163.2219;134.235615;85.416051942244
Co5;jun;control;both;str;1641;-128.24414;148.19322;1696;-139.9879025;128.1399075;59.7080505449564
Co5;mar;control;both;str;1641;-76.94646;190.94127;1727.75;-96.7106065;178.6817025;89.8135901863438
Co5;may;control;both;str;1618;-61.81835;177.02538;1704.5;-120.571115;145.0402875;109.348907344238
Co5;nov;control;both;str;1673;-153.98846;226.62457;1732.25;-177.5802275;191.774865;72.6748645156018
Co5;oct;control;both;str;1634;-167.42508;215.66617;1730;-194.6464475;184.79606;104.450785253066
Co5;sep;control;both;str;1634;-170.2628;190.12677;1708.75;-205.5865875;168.4983075;85.4583106166923
Co6;apr;control;both;str;2088;413.3823;199.43877;2108.5;349.14298;164.13405;76.1141477541514
Co6;aug;control;both;str;2003;-417.4252;-52.17815;2065;-511.892865;-141.435915;143.996834490719
Co6;dec;control;both;str;2003;-260.89075;511.34583;1999.25;-304.572225;462.4048175;65.7065937536012
Co6;feb;control;both;str;2003;146.09885;448.73206;2076;175.146908333333;393.03659;96.3056336434044
Co6;jan;control;both;str;1992;-65.72935;522.37537;2033;69.1805635;479.3499375;147.420733285347
Co6;jul;control;both;str;1741;-305.3772;-359.8009;1807.25;-317.02717;-340.4531425;69.9937141554848
Co6;jun;control;both;str;1804;62.65893;-435.47964;1845.75;82.9479985;-375.0874825;76.1703452014136
Co6;mar;control;both;str;2015;237.95804;402.42905;2037.75;240.1110825;333.1738175;72.9279460881483
Co6;may;control;both;str;1883;300.8532;-153.69682;1989.5;311.6192225;-11.78853125;177.752973692211
Co6;nov;control;both;str;1992;-373.61948;435.8894;1977.75;-449.4054325;385.0167875;92.3828761129865
Co6;oct;control;both;str;2027;-468.18967;179.53137;2004;-609.213075;140.2562;148.186165806134
Co6;sep;control;both;str;2003;-493.9531;69.57085;1986.75;-563.569145;-24.08022425;117.817570547101
Co7;apr;control;both;str;1795;236.91614;-102.87148;1774.75;246.226355;42.3516135;146.923413685689
Co7;aug;control;both;str;1936;-406.8246;-47.070663;1868.25;-391.98866;-12.17885625;77.6376570612673
Co7;dec;control;both;str;1992;-283.67404;390.9167;1865.5;-262.2336125;421.5245675;131.904448311193
Co7;feb;control;both;str;1915;152.98305;389.1088;1786.25;112.76049575;363.20036;137.352333921298
Co7;jan;control;both;str;1936;0;440.44647;1852.75;51.7744165;442.7618475;98.0638245067108
Co7;jul;control;both;str;1883;-323.74417;-235.45038;1842;-374.6628125;-166.18386375;95.2447291321379
Co7;jun;control;both;str;1863;45.295788;-378.54303;1861.25;123.2108815;-385.555265;78.2495733841979
Co7;mar;control;both;str;1936;221.90439;265.61273;1783.75;183.0364625;303.3014225;161.589652609642
Co7;may;control;both;str;1759;189.39742;-180.23305;1794.5;236.3746625;-248.914745;90.467046713026
Co7;nov;control;both;str;1947;-321.22253;368.56058;1899.75;-331.6190775;344.238125;54.1500924943511
Co7;oct;control;both;str;1980;-374.80737;165.05273;1889.25;-380.33736;241.723555;118.930898826086
Co7;sep;control;both;str;2003;-400.03247;3.47849;1843;-375.840695;50.249979;168.442317013652
Co8;apr;control;both;str;1786;-114.76237;232.62645;1661.5;0.194077075000001;197.6165775;173.034464476224
Co8;aug;control;both;str;1690;-231.86235;190.77281;1590.5;-244.89169;70.325421;156.772405791813
Co8;dec;control;both;str;1795;-196.39093;308.61432;1657;-203.141356666667;299.053986666667;138.49537260727
Co8;feb;control;both;str;1833;-152.79886;270.58133;1662.25;-25.058765;274.7810175;213.285563847408
Co8;jan;control;both;str;1814;-198.46971;299.27975;1663.75;-130.45967;277.8514325;166.311757947784
Co8;jul;control;both;str;1759;-201.6166;174.12337;1586.75;-192.6948725;-12.36379025;254.021890119126
Co8;jun;control;both;str;1786;-161.28767;114.76238;1565.75;-69.711529;6.11521225;262.107724343539
Co8;mar;control;both;str;1814;-135.46344;248.87474;1646.66666666667;-3.19657866666667;239.38673;213.506415325572
Co8;may;control;both;str;1723;-140.63696;248.35893;1608.75;-5.75355525;117.85147;219.724355710977
Co8;nov;control;both;str;1853;-244.5713;273.53366;1649.5;-230.28284;282.0303025;204.177871041267
Co8;oct;control;both;str;1786;-226.4231;266.74503;1631;-235.017883333333;240.572873333333;157.42887945079
Co8;sep;control;both;str;1768;-260.98627;242.56369;1591.5;-233.0706325;166.4204;194.240401124626
Co9;apr;control;both;str;1873;-426.11374;55.29715;1762.5;-465.576005;59.64491345;117.415601203364
Co9;aug;control;both;str;2076;3.6054025;25.237215;2014;-41.51849975;39.80608675;78.0539465903903
Co9;dec;control;both;str;1750;-21.274132;154.99748;1612.5;-19.364699;162.6917775;137.728349109397
Co9;feb;control;both;str;1723;-415.92645;122.68331;1641.75;-446.09365;110.4728135;87.5255315928816
Co9;jan;control;both;str;1611;-299.36136;120.30407;1562.25;-327.6516775;135.1486765;58.2860781524255
Co9;jul;control;both;str;2051;-124.66661;46.3047;2019;-159.9960365;37.333941675;48.5040501581513
Co9;jun;control;both;str;2101;-291.89893;32.838596;2008.5;-328.82219;29.0908624;99.667560601051
Co9;mar;control;both;str;1741;-420.27158;111.870834;1660.25;-452.2370825;107.968098;86.9343844423092
Co9;may;control;both;str;2003;-361.7685;62.61372;1915.75;-432.492485;12.823934;122.855473399462
Co9;nov;control;both;str;1768;33.77476;101.32403;1654.5;67.809896;102.6004935;118.500083719824
Co9;oct;control;both;str;1925;33.430832;90.26321;1820.75;129.97389425;39.25470725;150.96520367755
Co9;sep;control;both;str;2027;31.682064;14.08083;1941;65.463235925;26.52842725;93.2314874595735
Sa11;apr;synaesthete;both;str;1883;235.45035;163.50714;1936.25;280.74259;63.9557515;121.644681168128
Sa11;aug;synaesthete;both;str;2039;-60.198036;-31.869589;1960.75;-168.56781;-88.51057875;145.173248695036
Sa11;dec;synaesthete;both;str;1925;-13.37232;307.56366;1912.25;-82.17861125;318.80464;70.8747334876134
Sa11;feb;synaesthete;both;str;1894;151.30542;266.42896;1875.5;168.49621;330.56926;68.932948180925
Sa11;jan;synaesthete;both;str;1883;91.56399;281.2323;1894;125.5801235;347.0242;74.877709926919
Sa11;jul;synaesthete;both;str;1936;84.054665;-131.12529;1958.25;96.93426225;-185.4903925;60.1374333935005
Sa11;jun;synaesthete;both;str;1915;186.2402;-96.44583;1922.75;207.100125;-108.52998325;25.3224353247295
Sa11;mar;synaesthete;both;str;1863;220.00786;245.89111;1899.25;258.0855875;267.2404175;56.7430062853019
Sa11;may;synaesthete;both;str;1936;289.14813;63.881485;1958;319.65612;63.06960675;37.6217570048625
Sa11;nov;synaesthete;both;str;1958;-102.011795;180.22081;1952.75;-184.007185;220.339115;91.4345934388354
Sa11;oct;synaesthete;both;str;1969;-78.6484;106.00434;1972;-192.6002325;157.5217025;125.092201072107
Sa11;sep;synaesthete;both;str;1969;-68.38993;17.097418;1966.25;-213.44152;99.007755;166.603810187467
Sa20;apr;synaesthete;both;str;1814;-368.5866;37.803722;1904.5;-383.72821;81.10273575;101.460942954
Sa20;aug;synaesthete;both;str;1915;-56.537144;-36.582897;2092;26.5514745;-46.3720855;195.776777825479
Sa20;dec;synaesthete;both;str;1603;-105.78729;208.79071;1655;-50.27214475;257.3036425;90.218822713878
Sa20;feb;synaesthete;both;str;1665;-341.20288;170.60141;1726.25;-291.75519;171.2656875;78.7215206340243
Sa20;jan;synaesthete;both;str;1589;-229.04373;212.48637;1671;-196.656205;232.2409325;90.3503985336647
Sa20;jul;synaesthete;both;str;1980;-206.316;-92.842255;2039;-147.8810775;-42.45109;97.1334632227135
Sa20;jun;synaesthete;both;str;2088;-351.73746;-68.897125;2063.75;-324.0767575;-7.16336025;71.8626097007467
Sa20;mar;synaesthete;both;str;1768;-389.94415;104.39449;1831.75;-345.93746;106.59960125;77.4952500504449
Sa20;may;synaesthete;both;str;1824;-345.2771;-15.838429;1941.75;-360.927505;54.76746675;138.185347238135
Sa20;nov;synaesthete;both;str;1665;5.783122;135.9028;1732.75;76.78238;195.101025;114.609715904461
Sa20;oct;synaesthete;both;str;1804;-9.398816;72.05775;1865.75;101.395314;101.136045;130.130507501369
Sa20;sep;synaesthete;both;str;1936;3.3622634;-30.259699;1952.75;69.4784255;44.964861;101.5413404384
Sa21;apr;synaesthete;both;str;1958;-132.61533;163.21881;1941.75;-230.911085;160.1631625;99.6767522176775
Sa21;aug;synaesthete;both;str;2027;-292.1785;116.167305;1964;-289.7102975;120.02838125;63.1664462621519
Sa21;dec;synaesthete;both;str;2027;-271.05716;221.77406;1986.75;-280.347475;187.1683475;53.8881043499572
Sa21;feb;synaesthete;both;str;2003;-219.1482;250.45508;1975.75;-256.348035;209.26179;61.8326561377669
Sa21;jan;synaesthete;both;str;2003;-243.49803;246.97653;1984;-261.78641;212.7715925;43.1907697593283
Sa21;jul;synaesthete;both;str;1958;-166.61926;74.80863;1961.5;-255.33384;110.71245;95.7685282082209
Sa21;jun;synaesthete;both;str;1969;-229.10623;88.906876;1940.25;-247.276575;112.80254;41.5659319084743
