"m";"z";"X";"y";"outlier";"condition";"task";"type";"participant";"rounds"
"may";2993;436.6189;-982.3926;1;"tr";"crazy";"control";"Co1";"both"
"jul";2003;-323.5045;160.01294;1;"tr";"month";"control";"Co5";"both"
"apr";2993;436.6189;-982.3926;1;"tr";"month";"control";"Co7";"both"
"feb";2917;425.53204;-957.4471;1;"hd";"month";"control";"Co8";"both"
"feb";1853;16.090216;-215.60892;1;"str";"month";"synaesthete";"Sa4";"monthsOnly"
"jan";1863;32.3541;-307.36398;1;"str";"month";"synaesthete";"Sa5";"monthsOnly"
"dec";1750;179.31088;-221.85925;1;"tr";"crazy";"synaesthete";"Sa7";"both"
"jun";1843;204.84335;-208.044;1;"tr";"crazy";"synaesthete";"Sa7";"both"
