"m";"condition";"task";"participant";"modelz";"modelX";"y"
"feb";"str";"crazy";"Co4";1786.05890894399;193.158547455602;258.20843
"jan";"str";"crazy";"Co4";1694.37344965422;142.485281474651;309.5512525
"jul";"str";"crazy";"Co4";1851.74734170383;-141.729011326736;33.5866545
"jun";"str";"crazy";"Co4";1805.02727815902;42.7748425764573;190.6308375
"mar";"str";"crazy";"Co4";1791.41458308085;188.968280046445;172.27773
"may";"str";"crazy";"Co4";1720.57926890673;-41.6731666758348;211.9822775
"nov";"str";"crazy";"Co4";1752.75341941032;-72.7850730884479;-165.06933
"oct";"str";"crazy";"Co4";1865.90667345737;360.333999445524;-145.63735375
"sep";"str";"crazy";"Co4";1920.90166082653;435.481530078499;-0.39686075
"apr";"str";"month";"Co4";1683.34271645023;-1.83507998300144;45.4654538
"aug";"str";"month";"Co4";2028.96376761581;60.5897053173602;-31.42934525
"dec";"str";"month";"Co4";1829.484249896;349.013866616268;163.5618625
"feb";"str";"month";"Co4";1595.46227829954;86.0005169911626;148.20233
"jan";"str";"month";"Co4";1610.03032555078;199.563513608522;185.3561425
"jul";"str";"month";"Co4";1847.05125641891;-13.1354683579956;-31.02817275
"jun";"str";"month";"Co4";1829.93697775269;-40.8563487420132;-29.72351625
"mar";"str";"month";"Co4";1709.74907118589;-37.6541219917614;27.688928725
"may";"str";"month";"Co4";1737.98840402964;-53.2554095815769;45.90048825
"nov";"str";"month";"Co4";1992.14726098251;369.901968074884;84.57258725
"oct";"str";"month";"Co4";2036.6128542091;324.211446700183;83.069941
"sep";"str";"month";"Co4";2083.78284803101;262.133442828771;72.70767075
"apr";"str";"crazy";"Co5";1702.50451649303;302.997859659157;133.0724875
"aug";"str";"crazy";"Co5";1687.24644085713;293.043084882159;124.99568125
"dec";"str";"crazy";"Co5";1650.92935702587;306.93058251515;83.836685
"feb";"str";"crazy";"Co5";1699.58650247464;261.896079456695;206.1670575
"jan";"str";"crazy";"Co5";1673.70198370466;244.143288670365;218.2251725
"jul";"str";"crazy";"Co5";1657.57115975632;254.882522407111;135.3536025
"jun";"str";"crazy";"Co5";1661.96320326747;273.063148151397;154.1686475
"mar";"str";"crazy";"Co5";1701.8099449473;272.604803303599;168.3910775
"may";"str";"crazy";"Co5";1632.46904933642;254.175595938153;155.5336625
"nov";"str";"crazy";"Co5";1634.50243564844;253.027001734832;104.6610525
"oct";"str";"crazy";"Co5";1696.84295220526;334.812954774282;100.478731
"sep";"str";"crazy";"Co5";1727.3611830781;333.157827103132;154.53378
"apr";"str";"month";"Co5";1761.75130989062;243.097160426822;142.225155
"aug";"str";"month";"Co5";1713.44672699908;185.600189379851;139.0071025
"dec";"str";"month";"Co5";1723.90851855139;181.212738527245;209.514905
"feb";"str";"month";"Co5";1762.05658114631;213.350393482084;196.5771875
"jan";"str";"month";"Co5";1745.69337539317;187.44124618292;225.450125
"jul";"str";"month";"Co5";1725.50275266142;203.666622682277;134.235615
"jun";"str";"month";"Co5";1732.91605838761;229.111151328727;128.1399075
"mar";"str";"month";"Co5";1785.9683681633;237.262180499071;178.6817025
"may";"str";"month";"Co5";1752.6562081378;236.830485798749;145.0402875
"nov";"str";"month";"Co5";1731.96689127755;176.896742582646;191.774865
"oct";"str";"month";"Co5";1718.30826112866;166.420092949094;184.79606
"sep";"str";"month";"Co5";1695.54639484732;173.710264868178;168.4983075
"apr";"str";"crazy";"Co6";2147.40411068459;220.042241694966;145.9372665
"aug";"str";"crazy";"Co6";2114.55385649664;405.334429503068;-30.49720575
"dec";"str";"crazy";"Co6";1796.68374588502;196.712316584762;-244.2518025
"feb";"str";"crazy";"Co6";2035.97582170993;16.69007116605;453.09979
"jan";"str";"crazy";"Co6";1973.56721784115;-55.2644742487494;526.9871225
"jul";"str";"crazy";"Co6";1745.39499754471;-56.4554177843026;19.029505
"jun";"str";"crazy";"Co6";1852.76088381525;-47.7309274892895;153.2178125
"mar";"str";"crazy";"Co6";2007.32422404599;66.5273262138176;393.923725
"may";"str";"crazy";"Co6";1776.11787501952;-85.4830633197581;141.4306225
"nov";"str";"crazy";"Co6";1614.76216215456;41.3072371488037;-220.15771
"oct";"str";"crazy";"Co6";2336.66589519956;389.151482946116;-229.92472
"sep";"str";"crazy";"Co6";2490.92246281014;397.390500241671;-44.061009
"apr";"str";"month";"Co6";2370.46536953057;283.297367992786;164.13405
"aug";"str";"month";"Co6";1730.86193970477;-294.787771869788;-141.435915
"dec";"str";"month";"Co6";1830.96749926569;-101.697670582837;462.4048175
"feb";"str";"month";"Co6";2224.45059696669;183.244536206029;393.03659
"jan";"str";"month";"Co6";2119.11548436646;138.720606787848;479.3499375
"jul";"str";"month";"Co6";1686.39602120906;25.2598553361742;-340.4531425
"jun";"str";"month";"Co6";1996.44478623733;280.861398213074;-375.0874825
"mar";"str";"month";"Co6";2243.34037067374;256.227978673848;333.1738175
"may";"str";"month";"Co6";2259.78635918552;340.909771570136;-11.78853125
"nov";"str";"month";"Co6";1713.35216030593;-188.907417951575;385.0167875
"oct";"str";"month";"Co6";1618.91264561489;-320.470038654907;140.2562
"sep";"str";"month";"Co6";1638.99018606243;-275.997314256435;-24.08022425
"apr";"str";"crazy";"Co7";1842.34966453993;128.887596859231;267.4110325
"aug";"str";"crazy";"Co7";1804.35053030038;194.833159454108;87.15329575
"dec";"str";"crazy";"Co7";1733.36604700102;-120.103163354609;-169.32678
"feb";"str";"crazy";"Co7";1874.96574087185;85.843247604192;416.1812825
"jan";"str";"crazy";"Co7";1856.10044307677;68.745716762085;480.1505325
"jul";"str";"crazy";"Co7";1807.56559351359;-238.590214715381;115.860815
"jun";"str";"crazy";"Co7";1813.2773563724;-173.481482236892;191.1635475
"mar";"str";"crazy";"Co7";1878.68666862987;89.9177287528035;390.73477
"may";"str";"crazy";"Co7";1750.19013257978;-264.145870495795;160.7701525
"nov";"str";"crazy";"Co7";1674.69948156321;-188.315670338438;-191.62862
"oct";"str";"crazy";"Co7";1984.04446957612;493.674591359783;-48.195143325
"sep";"str";"crazy";"Co7";1960.28282855239;483.347979178597;152.596105
"apr";"str";"month";"Co7";2061.69543787523;446.521212779464;42.3516135
"aug";"str";"month";"Co7";1676.5237569546;-70.8794362230528;-12.17885625
"dec";"str";"month";"Co7";1766.32988728677;22.8157814056428;421.5245675
"feb";"str";"month";"Co7";1975.45255172631;344.014870663254;363.20036
"jan";"str";"month";"Co7";1979.35148247956;253.868599518693;442.7618475
"jul";"str";"month";"Co7";1670.2134282055;-40.0666589598519;-166.18386375
"jun";"str";"month";"Co7";2035.87509894514;298.371400704103;-385.555265
"mar";"str";"month";"Co7";2023.37739741671;395.475250259586;303.3014225
"may";"str";"month";"Co7";2068.69459823075;425.589655278115;-248.914745
"nov";"str";"month";"Co7";1741.48536172512;-50.4655586672783;344.238125
"oct";"str";"month";"Co7";1699.61171259915;-77.4899653883314;241.723555
"sep";"str";"month";"Co7";1670.0876462835;-41.6066544442294;50.249979
"apr";"str";"crazy";"Co8";1752.31853282998;180.984928167784;219.256755
"aug";"str";"crazy";"Co8";1743.66336374826;175.15818621081;186.5201375
"dec";"str";"crazy";"Co8";1688.96159729781;196.470398737908;180.12833
"feb";"str";"crazy";"Co8";1762.33719824019;167.66906979884;263.701085
"jan";"str";"crazy";"Co8";1691.7557491891;123.25057165165;279.545565
"jul";"str";"crazy";"Co8";1672.85298003793;186.725742508707;222.95498
"jun";"str";"crazy";"Co8";1711.77031647447;201.955001775504;239.893115
"mar";"str";"crazy";"Co8";1744.62797230265;176.122794765201;251.5218375
"may";"str";"crazy";"Co8";1703.84558516219;178.120367886519;244.5860275
"nov";"str";"crazy";"Co8";1689.38013733713;189.817870965361;175.00995
"oct";"str";"crazy";"Co8";1715.29910458171;233.060954349019;179.1870675
"sep";"str";"crazy";"Co8";1754.68074677622;226.480655766403;207.47129
"apr";"str";"month";"Co8";1807.64450279431;352.629963637299;197.6165775
"aug";"str";"month";"Co8";1584.13811345903;229.532737230505;70.325421
"dec";"str";"month";"Co8";1660.68265822473;212.032080098398;299.053986666667
"feb";"str";"month";"Co8";1790.31837700474;334.243177675944;274.7810175
"jan";"str";"month";"Co8";1716.84934250782;258.652822835465;277.8514325
"jul";"str";"month";"Co8";1618.39518664018;269.093111270561;-12.36379025
"jun";"str";"month";"Co8";1690.50830039711;370.904709837323;6.11521225
"mar";"str";"month";"Co8";1794.75819653911;360.721158557298;239.38673
"may";"str";"month";"Co8";1766.13900893771;385.724235195878;117.85147
"nov";"str";"month";"Co8";1636.18743044937;198.143454040836;282.0303025
"oct";"str";"month";"Co8";1619.75777374721;207.876748242575;240.572873333333
"sep";"str";"month";"Co8";1593.20397015926;237.184380368364;166.4204
"apr";"str";"crazy";"Co9";1906.41171705481;173.150659500887;111.3780425
"aug";"str";"crazy";"Co9";1900.19553320967;195.572300293803;-40.9098259
"dec";"str";"crazy";"Co9";1640.19526395543;-107.207929222221;-257.4091975
"feb";"str";"crazy";"Co9";1929.03662329337;209.564147972591;336.63456
"jan";"str";"crazy";"Co9";1915.80971701296;142.597126321999;412.085775
"jul";"str";"crazy";"Co9";1661.55389804271;-174.944749564443;127.79388
"jun";"str";"crazy";"Co9";1710.98677852131;-121.62278178932;208.0278875
"mar";"str";"crazy";"Co9";1828.87126176742;76.5183211214682;230.42481
"may";"str";"crazy";"Co9";1649.24542465289;-176.646621236471;206.347655
"nov";"str";"crazy";"Co9";1625.26526642057;-207.697847280656;-163.4034375
"oct";"str";"crazy";"Co9";2033.78442178105;457.501069650546;-283.5695225
"sep";"str";"crazy";"Co9";2066.93906068956;507.626271307535;39.0667132
"apr";"str";"month";"Co9";1549.71310418511;-48.1370047715894;59.64491345
"aug";"str";"month";"Co9";2027.40439722885;73.879577335319;39.80608675
"dec";"str";"month";"Co9";1759.16612732183;373.448052721098;162.6917775
"feb";"str";"month";"Co9";1478.10606569081;51.0222443906699;110.4728135
"jan";"str";"month";"Co9";1505.64219851834;190.988355426861;135.1486765
"jul";"str";"month";"Co9";1947.16366148058;-13.4322262248172;37.333941675
"jun";"str";"month";"Co9";1820.36092229663;-125.385723003849;29.0908624
"mar";"str";"month";"Co9";1486.84347836225;33.596706158207;107.968098
"may";"str";"month";"Co9";1681.47079973946;-133.107537650907;12.823934
"nov";"str";"month";"Co9";1850.50635940335;405.391315182954;102.6004935
"oct";"str";"month";"Co9";2012.01944648386;331.791397518934;39.25470725
"sep";"str";"month";"Co9";2051.43311296113;201.145883120836;26.52842725
"apr";"str";"crazy";"Sa1";1908.84116465834;389.479908413357;36.855505
"aug";"str";"crazy";"Sa1";1897.38945543218;416.919072152449;-169.872965
"dec";"str";"crazy";"Sa1";1795.16847721767;130.496777438846;-365.5123875
"feb";"str";"crazy";"Sa1";2004.12914649885;375.519892560538;445.69593
"jan";"str";"crazy";"Sa1";1868.95086228397;280.646694873297;442.3789225
"jul";"str";"crazy";"Sa1";1859.63913775002;23.4940435334578;36.42306225
"jun";"str";"crazy";"Sa1";1806.82423447992;66.1385557235407;252.2108575
"mar";"str";"crazy";"Sa1";1903.03928851792;315.442227888428;308.614745
"may";"str";"crazy";"Sa1";1802.6711400278;-1.88985129576091;257.369353333333
"nov";"str";"crazy";"Sa1";1783.30715753232;56.0565076184858;-382.08639
"oct";"str";"crazy";"Sa1";1998.20613018585;680.370306579027;-296.238025
"sep";"str";"crazy";"Sa1";1912.03924157567;678.702678320645;98.05434625
"apr";"str";"crazy";"Sa11";1948.66849484282;296.371163734764;174.0348025
"aug";"str";"crazy";"Sa11";1974.4541774089;293.165468272197;23.68635015
"dec";"str";"crazy";"Sa11";1884.51197763495;114.481367459328;-171.8940275
"feb";"str";"crazy";"Sa11";2045.29817803628;297.894984858628;379.52197
"jan";"str";"crazy";"Sa11";2080.29750721605;195.715598488214;473.6475825
"jul";"str";"crazy";"Sa11";1879.74185296673;-45.1451422887406;56.7607355
"jun";"str";"crazy";"Sa11";1879.0859142;45.0621403269979;169.0227875
"mar";"str";"crazy";"Sa11";1984.91008035272;261.548517735412;323.3495175
"may";"str";"crazy";"Sa11";1848.66304445478;-3.74550572907219;145.882125
"nov";"str";"crazy";"Sa11";1803.43891833858;68.4100938316956;-145.033415
"oct";"str";"crazy";"Sa11";2019.89035159053;533.409560670715;-121.1703015
"sep";"str";"crazy";"Sa11";2049.97648824771;578.344939732817;5.8017324
"apr";"str";"month";"Sa11";2200.29984686638;356.730131447365;63.9557515
"aug";"str";"month";"Sa11";1899.91353230781;21.6955846106541;-88.51057875
"dec";"str";"month";"Sa11";1926.70524167766;117.076651755599;318.80464
"feb";"str";"month";"Sa11";2077.97293344766;320.316691942805;330.56926
"jan";"str";"month";"Sa11";2060.70815311347;276.888960704716;347.0242
"jul";"str";"month";"Sa11";2085.8840810619;211.201667270676;-185.4903925
"jun";"str";"month";"Sa11";2138.68081893557;314.20298660859;-108.52998325
"mar";"str";"month";"Sa11";2158.11597585337;366.872162242156;267.2404175
"may";"str";"month";"Sa11";2243.1954403001;368.866579899463;63.06960675
"nov";"str";"month";"Sa11";1883.33939129854;16.4351521003644;220.339115
"oct";"str";"month";"Sa11";1890.87499467807;-3.25285559578475;157.5217025
"sep";"str";"month";"Sa11";1872.07211496634;-13.9240073238705;99.007755
"apr";"str";"crazy";"Sa13";1886.62128883049;421.000147955678;76.869176
"aug";"str";"crazy";"Sa13";1860.77344839636;411.769316879434;1.507828875
"dec";"str";"crazy";"Sa13";1747.07018218186;211.209767709185;-92.3409233333333
"feb";"str";"crazy";"Sa13";1878.56283231217;409.406157531427;250.4516225
"jan";"str";"crazy";"Sa13";1872.25769876499;382.594927329834;248.720166
"jul";"str";"crazy";"Sa13";1790.44700326377;33.1443151495064;26.75461385
"jun";"str";"crazy";"Sa13";1785.15308335483;118.242212102251;138.738218333333
"mar";"str";"crazy";"Sa13";1842.20127941933;385.065419918759;199.3814575
"may";"str";"crazy";"Sa13";1695.5619352866;140.373935461496;165.62183
"nov";"str";"crazy";"Sa13";1673.69345128284;186.859106972428;-108.283531333333
"oct";"str";"crazy";"Sa13";1857.23821854634;522.785385581638;-95.3695275
"sep";"str";"crazy";"Sa13";1895.41682638645;596.31933248107;-60.6926115
"apr";"str";"month";"Sa14";1792.23043616747;4.52215646218838;100.77047575
"aug";"str";"month";"Sa14";2163.02470052177;368.245353004619;368.3170175
"dec";"str";"month";"Sa14";2094.69102018438;382.996719456651;-215.8112925
"feb";"str";"month";"Sa14";1818.54105748379;103.311222850128;-198.6547375
"jan";"str";"month";"Sa14";1922.50589218901;265.258813612645;-167.72038
"jul";"str";"month";"Sa14";1945.06081377135;236.548493558956;402.8019975
"jun";"str";"month";"Sa14";1842.52157810834;84.8653366034805;342.0408125
"mar";"str";"month";"Sa14";1778.22741319634;59.4620446567426;-128.331021
"may";"str";"month";"Sa14";1824.24893125531;48.2079134396067;265.4694475
"nov";"str";"month";"Sa14";2183.8518254226;450.944321259277;-214.5209
"oct";"str";"month";"Sa14";2253.45251736819;430.035345212986;-30.4108
"sep";"str";"month";"Sa14";2238.39535551756;401.89670791041;320.2113575
"apr";"str";"crazy";"Sa20";1894.49725151841;157.347106667963;12.820025675
"aug";"str";"crazy";"Sa20";1877.69042217354;144.429364619623;-56.3605385
"dec";"str";"crazy";"Sa20";1834.73860756354;43.4947939523241;-122.613936
"feb";"str";"crazy";"Sa20";1840.55624622781;152.550022669832;151.562765
"jan";"str";"crazy";"Sa20";1822.34602912539;156.967222565382;200.686125
"jul";"str";"crazy";"Sa20";1819.34470908935;5.82703187075356;-6.655839625
"jun";"str";"crazy";"Sa20";1802.38225862342;33.0587552289828;58.01071
"mar";"str";"crazy";"Sa20";1815.02808912301;123.132778268506;63.11477125
"may";"str";"crazy";"Sa20";1753.418112159;50.9161995866954;62.9415385
"nov";"str";"crazy";"Sa20";1739.75166317687;68.3624489767793;-92.09460125
"oct";"str";"crazy";"Sa20";1944.53768450736;257.238567730568;-70.57165225
"sep";"str";"crazy";"Sa20";1903.73166762603;362.803654554855;-21.85728365
"apr";"str";"month";"Sa20";1707.99739798326;-90.6710368304127;81.10273575
"aug";"str";"month";"Sa20";2130.69146654877;66.8579887901369;-46.3720855
"dec";"str";"month";"Sa20";1767.36330104328;321.54115004169;257.3036425
"feb";"str";"month";"Sa20";1646.99036036497;100.405493044295;171.2656875
"jan";"str";"month";"Sa20";1675.16784788187;206.71827988231;232.2409325
"jul";"str";"month";"Sa20";1969.872366767;-19.0077921858511;-42.45109
"jun";"str";"month";"Sa20";1862.7840994576;-161.097845163993;-7.16336025
"mar";"str";"month";"Sa20";1683.27747524307;-12.5069229079658;106.59960125
"may";"str";"month";"Sa20";1750.45965870379;-100.888231308278;54.76746675
"nov";"str";"month";"Sa20";1912.18196931169;356.404713835595;195.101025
"oct";"str";"month";"Sa20";2023.6311437458;279.763484474081;101.136045
"sep";"str";"month";"Sa20";2062.5807854163;195.676546218126;44.964861
"apr";"str";"crazy";"Sa21";1891.66044181955;36.7770179015428;176.4096925
"aug";"str";"crazy";"Sa21";1879.27919653534;54.0942574271662;147.6435475
"dec";"str";"crazy";"Sa21";1843.24735074078;-0.675918068835387;87.36211
"feb";"str";"crazy";"Sa21";1909.29730598464;26.8367176003558;278.01902
"jan";"str";"crazy";"Sa21";1896.95150266006;10.6018269792582;311.4433675
"jul";"str";"crazy";"Sa21";1850.54765550004;-63.7327380376385;161.301565
"jun";"str";"crazy";"Sa21";1855.72350036163;-42.646990599351;194.6694525
"mar";"str";"crazy";"Sa21";1901.23369006169;42.4611788471577;221.3837225
"may";"str";"crazy";"Sa21";1845.83247126095;-60.3161942930769;222.70098
"nov";"str";"crazy";"Sa21";1832.67233371513;-45.8991673726258;88.307715
"oct";"str";"crazy";"Sa21";1908.16463246727;116.920818856054;101.2710835
"sep";"str";"crazy";"Sa21";1987.54134383301;154.578230131785;143.05223
"apr";"str";"month";"Sa21";1842.39515095139;-8.95273906067931;160.1631625
"aug";"str";"month";"Sa21";1816.55095494561;-66.2631868292588;120.02838125
"dec";"str";"month";"Sa21";1839.2581494984;-75.7293508204567;187.1683475
"feb";"str";"month";"Sa21";1848.45014167403;-50.9810094587251;209.26179
"jan";"str";"month";"Sa21";1850.43826077769;-60.6601522446495;212.7715925
"jul";"str";"month";"Sa21";1839.09101420407;-40.1875936648713;110.71245
"jun";"str";"month";"Sa21";1829.76234182317;-19.4642278453401;112.80254
"mar";"str";"month";"Sa21";1846.4364359115;-24.710443973794;196.0978425
"may";"str";"month";"Sa21";1837.96137576578;3.58404850218992;141.25174
"nov";"str";"month";"Sa21";1828.66927141208;-86.6717822973778;177.668795
"oct";"str";"month";"Sa21";1824.06502162036;-75.0125761218044;162.017505
"sep";"str";"month";"Sa21";1826.86917023377;-68.3193402118643;141.95075
"apr";"str";"crazy";"Sa22";1718.49650515141;368.487323000597;84.7145575
"aug";"str";"crazy";"Sa22";1677.71630774386;363.062464652381;-65.196671
"dec";"str";"crazy";"Sa22";1560.72838651667;208.715735152498;-193.91276
"feb";"str";"crazy";"Sa22";1814.22636190856;284.612057336368;291.2055425
"jan";"str";"crazy";"Sa22";1789.22468964297;261.378152023747;377.7909625
"jul";"str";"crazy";"Sa22";1578.39307238732;25.4442440359703;79.4450865
"jun";"str";"crazy";"Sa22";1606.5199840917;99.5330965174726;178.3308775
"mar";"str";"crazy";"Sa22";1752.50275111704;302.084406037745;244.2686475
"may";"str";"crazy";"Sa22";1591.01152194458;111.248245446039;190.79625
"nov";"str";"crazy";"Sa22";1567.77703963283;213.171663404305;-180.4557875
"oct";"str";"crazy";"Sa22";1846.43978229434;475.924503489124;-148.8449825
"sep";"str";"crazy";"Sa22";1898.17237555079;485.230689874379;59.938851
"apr";"str";"month";"Sa22";2055.64110317091;270.054143809182;3.24795325
"aug";"str";"month";"Sa22";1691.78144898506;-63.3999187856366;-30.97826525
"dec";"str";"month";"Sa22";1690.31415114886;38.0168200408023;263.72931
"feb";"str";"month";"Sa22";2007.11164388271;280.568100750063;104.789555
"jan";"str";"month";"Sa22";2006.95529956819;314.352881932493;321.1478425
"jul";"str";"month";"Sa22";1729.17859776594;14.3023165228731;-124.07230075
"jun";"str";"month";"Sa22";1915.24501588065;231.481433009787;-135.739215
"mar";"str";"month";"Sa22";2057.64778895409;299.637994058642;120.1512435
"may";"str";"month";"Sa22";2059.03941487422;297.140532682247;-14.10350325
